idiom,label,count
var_2C = dword ptr -2Ch  | * | var_10 = dword ptr -10h ,data,4
var_28 = dword ptr -28h  | * | ExceptionInfo = dword ptr 4 ,data,1
"push ebx  | * | mov eax, [esp+2Ch+ExceptionInfo] ",gcc,1
"sub esp, 28h  | * | mov eax, [eax] ",gcc,1
"mov eax, [esp+2Ch+ExceptionInfo]  | * | mov eax, [eax] ",gcc,1
"mov eax, [eax]  | * | cmp eax, 0C0000091h ",gcc,1
"mov eax, [eax]  | * | ja short loc_401160 ",gcc,1
"cmp eax, 0C0000091h  | * | cmp eax, 0C000008Dh ",gcc,1
ja short loc_401160  | * | jb short loc_401177 ,gcc,1
"cmp eax, 0C000008Dh  | * | loc_40112A:  ",gcc,1
"jb short loc_401177  | * | mov ebx, 1 ",gcc,1
loc_40112A:   | * | loc_40112F:  ,gcc,1
"mov ebx, 1  | * | mov [esp+2Ch+var_28], 0  ",gcc,1
"loc_40112F:   | * | mov [esp+2Ch+var_2C], 8  ",gcc,1
"mov [esp+2Ch+var_28], 0   | * | call _signal ",gcc,3
"mov [esp+2Ch+var_2C], 8   | * | cmp eax, 1 ",gcc,1
call _signal  | * | jz loc_401240 ,gcc,1
"cmp eax, 1  | * | test eax, eax ",gcc,4
jz loc_401240  | * | jnz loc_4011F4 ,gcc,1
"test eax, eax  | * | loc_401154:  ",gcc,1
"jnz loc_4011F4  | * | xor eax, eax ",gcc,1
loc_401154:   | * | loc_401156:  ,gcc,1
"xor eax, eax  | * | add esp, 28h ",gcc,1
loc_401156:   | * | pop ebx ,gcc,1
"add esp, 28h  | * | retn 4 ",gcc,1
pop ebx  | * | align 10h ,gcc,12
retn 4  | * | loc_401160:  ,gcc,1
"align 10h  | * | cmp eax, 0C0000094h ",gcc,1
loc_401160:   | * | jz short loc_4011B2 ,gcc,1
"cmp eax, 0C0000094h  | * | cmp eax, 0C0000096h ",gcc,1
jz short loc_4011B2  | * | jz short loc_401185 ,gcc,1
"cmp eax, 0C0000096h  | * | cmp eax, 0C0000093h ",gcc,1
jz short loc_401185  | * | jnz short loc_401154 ,gcc,1
"cmp eax, 0C0000093h  | * | jmp short loc_40112A ",gcc,1
jnz short loc_401154  | * | loc_401177:  ,gcc,1
"jmp short loc_40112A  | * | cmp eax, 0C0000005h ",gcc,1
loc_401177:   | * | jz short loc_4011C0 ,gcc,1
"cmp eax, 0C0000005h  | * | cmp eax, 0C000001Dh ",gcc,1
jz short loc_4011C0  | * | jnz short loc_401154 ,gcc,1
"cmp eax, 0C000001Dh  | * | loc_401185:  ",gcc,1
"jnz short loc_401154  | * | mov [esp+2Ch+var_28], 0  ",gcc,1
"loc_401185:   | * | mov [esp+2Ch+var_2C], 4  ",gcc,1
"mov [esp+2Ch+var_2C], 4   | * | cmp eax, 1 ",gcc,1
call _signal  | * | jz short loc_401207 ,gcc,1
jz short loc_401207  | * | jz short loc_401154 ,gcc,1
"test eax, eax  | * | mov [esp+2Ch+var_2C], 4 ",gcc,1
jz short loc_401154  | * | call eax ,gcc,1
"mov [esp+2Ch+var_2C], 4  | * | mov eax, 0FFFFFFFFh ",gcc,1
call eax  | * | jmp short loc_401156 ,gcc,1
"mov eax, 0FFFFFFFFh  | * | loc_4011B2:  ",gcc,1
"jmp short loc_401156  | * | xor ebx, ebx ",gcc,1
loc_4011B2:   | * | jmp loc_40112F ,gcc,1
"xor ebx, ebx  | * | align 10h ",gcc,6
jmp loc_40112F  | * | loc_4011C0:  ,gcc,1
"align 10h  | * | mov [esp+2Ch+var_28], 0  ",gcc,1
"loc_4011C0:   | * | mov [esp+2Ch+var_2C], 0Bh  ",gcc,1
"mov [esp+2Ch+var_2C], 0Bh   | * | cmp eax, 1 ",gcc,1
call _signal  | * | jz short loc_401223 ,gcc,1
jz short loc_401223  | * | jz loc_401154 ,gcc,1
"test eax, eax  | * | mov [esp+2Ch+var_2C], 0Bh ",gcc,1
jz loc_401154  | * | call eax ,gcc,1
"mov [esp+2Ch+var_2C], 0Bh  | * | mov eax, 0FFFFFFFFh ",gcc,1
call eax  | * | jmp loc_401156 ,gcc,2
"mov eax, 0FFFFFFFFh  | * | loc_4011F4:  ",gcc,1
"jmp loc_401156  | * | mov [esp+2Ch+var_2C], 8 ",gcc,1
loc_4011F4:   | * | call eax ,gcc,1
"mov [esp+2Ch+var_2C], 8  | * | mov eax, 0FFFFFFFFh ",gcc,1
"mov eax, 0FFFFFFFFh  | * | loc_401207:  ",gcc,1
