idiom,label,count
"public _start  | * | xor ebp, ebp ",icc,1
"_start proc near   | * | mov r9, rdx  ",icc,1
"xor ebp, ebp  | * | pop rsi  ",icc,1
"mov r9, rdx   | * | mov rdx, rsp  ",icc,1
"pop rsi   | * | and rsp, 0FFFFFFFFFFFFFFF0h ",icc,1
"mov rdx, rsp   | * | push rax ",icc,1
"and rsp, 0FFFFFFFFFFFFFFF0h  | * | push rsp  ",icc,1
"push rax  | * | mov r8, offset __libc_csu_fini  ",icc,1
"push rsp   | * | mov rcx, offset __libc_csu_init  ",icc,1
"mov r8, offset __libc_csu_fini   | * | mov rdi, offset main  ",icc,1
"mov rcx, offset __libc_csu_init   | * | call ___libc_start_main ",icc,1
"mov rdi, offset main   | * | hlt ",icc,1
call ___libc_start_main  | * | _start endp ,icc,1
hlt  | * | align 4 ,icc,1
_start endp  | * | call_gmon_start proc near  ,icc,1
"align 4  | * | sub rsp, 8 ",icc,1
"call_gmon_start proc near   | * | mov rax, cs:__gmon_start___ptr ",icc,1
"sub rsp, 8  | * | test rax, rax ",icc,1
"mov rax, cs:__gmon_start___ptr  | * | jz short loc_4013FE ",icc,1
"test rax, rax  | * | call rax  ",icc,1
jz short loc_4013FE  | * | loc_4013FE:  ,icc,1
"call rax   | * | add rsp, 8 ",icc,1
loc_4013FE:   | * | retn ,icc,1
"add rsp, 8  | * | call_gmon_start endp ",icc,1
retn  | * | align 10h ,icc,6
call_gmon_start endp  | * | __do_global_dtors_aux proc near  ,icc,1
align 10h  | * | push rbp ,icc,2
"__do_global_dtors_aux proc near   | * | mov rbp, rsp ",icc,1
push rbp  | * | push rbx ,icc,2
"mov rbp, rsp  | * | sub rsp, 8 ",icc,2
"push rbx  | * | cmp cs:completed_6531, 0 ",icc,1
"sub rsp, 8  | * | jnz short loc_40146D ",icc,1
"cmp cs:completed_6531, 0  | * | mov ebx, offset __DTOR_END__ ",icc,1
"jnz short loc_40146D  | * | mov rax, cs:dtor_idx_6533 ",icc,1
"mov ebx, offset __DTOR_END__  | * | sub rbx, offset __DTOR_LIST__ ",icc,1
"mov rax, cs:dtor_idx_6533  | * | sar rbx, 3 ",icc,1
"sub rbx, offset __DTOR_LIST__  | * | sub rbx, 1 ",icc,1
"sar rbx, 3  | * | cmp rax, rbx ",icc,1
"sub rbx, 1  | * | jnb short loc_401466 ",icc,1
"cmp rax, rbx  | * | nop word ptr [rax+rax+00h] ",icc,1
jnb short loc_401466  | * | loc_401448:  ,icc,1
"nop word ptr [rax+rax+00h]  | * | add rax, 1 ",icc,1
"loc_401448:   | * | mov cs:dtor_idx_6533, rax ",icc,1
"add rax, 1  | * | call ds:__DTOR_LIST__[rax*8] ",icc,1
"mov cs:dtor_idx_6533, rax  | * | mov rax, cs:dtor_idx_6533 ",icc,1
"call ds:__DTOR_LIST__[rax*8]  | * | cmp rax, rbx ",icc,1
"mov rax, cs:dtor_idx_6533  | * | jb short loc_401448 ",icc,1
"cmp rax, rbx  | * | loc_401466:  ",icc,1
"jb short loc_401448  | * | mov cs:completed_6531, 1 ",icc,1
loc_401466:   | * | loc_40146D:  ,icc,1
"mov cs:completed_6531, 1  | * | add rsp, 8 ",icc,1
loc_40146D:   | * | pop rbx ,icc,1
"add rsp, 8  | * | pop rbp ",icc,2
pop rbx  | * | retn ,icc,3
pop rbp  | * | __do_global_dtors_aux endp ,icc,1
retn  | * | align 20h ,icc,9
__do_global_dtors_aux endp  | * | frame_dummy proc near  ,icc,1
"align 20h  | * | cmp cs:__JCR_LIST__, 0 ",icc,1
frame_dummy proc near   | * | push rbp ,icc,1
"cmp cs:__JCR_LIST__, 0  | * | mov rbp, rsp ",icc,1
push rbp  | * | jz short loc_4014A0 ,icc,1
"mov rbp, rsp  | * | mov eax, 0 ",icc,1
"jz short loc_4014A0  | * | test rax, rax ",icc,1
"mov eax, 0  | * | jz short loc_4014A0 ",icc,1
"test rax, rax  | * | pop rbp ",icc,1
"jz short loc_4014A0  | * | mov edi, offset __JCR_LIST__ ",icc,1
pop rbp  | * | jmp rax ,icc,1
"mov edi, offset __JCR_LIST__  | * | loc_4014A0:  ",icc,1
jmp rax  | * | pop rbp ,icc,1
loc_4014A0:   | * | retn ,icc,1
pop rbp  | * | frame_dummy endp ,icc,1
frame_dummy endp  | * | public main ,icc,1
align 10h  | * | main proc near  ,icc,1
var_80 = dword ptr -80h  | * | var_7B = byte ptr -7Bh ,data,1
var_7C = byte ptr -7Ch  | * | var_7A = byte ptr -7Ah ,data,1
var_7B = byte ptr -7Bh  | * | var_79 = byte ptr -79h ,data,1
var_7A = byte ptr -7Ah  | * | var_78 = qword ptr -78h ,data,1
var_79 = byte ptr -79h  | * | var_70 = byte ptr -70h ,data,1
var_78 = qword ptr -78h  | * | var_6F = byte ptr -6Fh ,data,1
var_70 = byte ptr -70h  | * | var_6E = byte ptr -6Eh ,data,1
var_6F = byte ptr -6Fh  | * | var_6D = byte ptr -6Dh ,data,1
var_6E = byte ptr -6Eh  | * | var_6C = byte ptr -6Ch ,data,1
var_6D = byte ptr -6Dh  | * | var_6B = byte ptr -6Bh ,data,1
var_6C = byte ptr -6Ch  | * | var_6A = byte ptr -6Ah ,data,1
var_6B = byte ptr -6Bh  | * | var_69 = byte ptr -69h ,data,1
var_6A = byte ptr -6Ah  | * | var_68 = qword ptr -68h ,data,1
var_69 = byte ptr -69h  | * | var_60 = qword ptr -60h ,data,1
var_68 = qword ptr -68h  | * | var_58 = qword ptr -58h ,data,1
var_60 = qword ptr -60h  | * | var_50 = byte ptr -50h ,data,1
var_58 = qword ptr -58h  | * | var_4F = byte ptr -4Fh ,data,1
var_50 = byte ptr -50h  | * | arg_0 = qword ptr 10h ,data,1
var_4F = byte ptr -4Fh  | * | arg_18 = qword ptr 28h ,data,1
arg_0 = qword ptr 10h  | * | arg_20 = qword ptr 30h ,data,1
"push rbp  | * | and rsp, 0FFFFFFFFFFFFFF80h ",icc,1
"mov rbp, rsp  | * | push r12 ",icc,1
"and rsp, 0FFFFFFFFFFFFFF80h  | * | sub rsp, 78h ",icc,1
"push r12  | * | mov rsi, 0 ",icc,1
"sub rsp, 78h  | * | mov edi, 3 ",icc,1
"mov rsi, 0  | * | call __intel_new_feature_proc_init ",icc,1
"mov edi, 3  | * | stmxcsr [rsp+80h+var_80] ",icc,1
"call __intel_new_feature_proc_init  | * | mov esi, offset unk_404A64 ",icc,1
"stmxcsr [rsp+80h+var_80]  | * | lea rdi, [rsp+80h+var_60] ",icc,1
"mov esi, offset unk_404A64  | * | or [rsp+80h+var_80], 8040h ",icc,1
"lea rdi, [rsp+80h+var_60]  | * | lea rdx, [rsp+80h+var_50] ",icc,1
"or [rsp+80h+var_80], 8040h  | * | ldmxcsr [rsp+80h+var_80] ",icc,1
"lea rdx, [rsp+80h+var_50]  | * | call __ZNSsC1EPKcRKSaIcE  ",icc,1
"ldmxcsr [rsp+80h+var_80]  | * | mov esi, offset unk_404A68 ",icc,1
"call __ZNSsC1EPKcRKSaIcE   | * | lea rdi, [rsp+80h+var_58] ",icc,1
"mov esi, offset unk_404A68  | * | lea rdx, [rsp+80h+var_4F] ",icc,1
"lea rdi, [rsp+80h+var_58]  | * | call __ZNSsC1EPKcRKSaIcE  ",icc,8
"lea rdx, [rsp+80h+var_4F]  | * | lea rdi, [rsp+80h+var_60] ",icc,1
"call __ZNSsC1EPKcRKSaIcE   | * | lea rsi, [rsp+80h+var_58] ",icc,1
"lea rdi, [rsp+80h+var_60]  | * | call _Z3addSsSs  ",icc,1
"lea rsi, [rsp+80h+var_58]  | * | mov rdi, [rsp+80h+var_58] ",icc,1
"call _Z3addSsSs   | * | mov r12d, offset _ZNSs4_Rep20_S_empty_rep_storageE@@GLIBCXX_3_4 ",icc,1
"mov rdi, [rsp+80h+var_58]  | * | lea rdx, [rdi-18h] ",icc,1
"mov r12d, offset _ZNSs4_Rep20_S_empty_rep_storageE@@GLIBCXX_3_4  | * | cmp rdx, r12 ",icc,1
"lea rdx, [rdi-18h]  | * | jnz loc_402051 ",icc,1
"cmp rdx, r12  | * | loc_401530:  ",icc,1
"jnz loc_402051  | * | mov rdi, [rsp+80h+var_60] ",icc,1
"loc_401530:   | * | lea rdx, [rdi-18h] ",icc,1
"mov rdi, [rsp+80h+var_60]  | * | cmp rdx, r12 ",icc,8
"lea rdx, [rdi-18h]  | * | jnz loc_402015 ",icc,1
"cmp rdx, r12  | * | loc_401542:  ",icc,1
"jnz loc_402015  | * | mov esi, offset unk_404A6C ",icc,1
"loc_401542:   | * | lea rdi, [rsp+80h+var_58] ",icc,1
"mov esi, offset unk_404A6C  | * | lea rdx, [rsp+80h+var_4F] ",icc,1
"lea rdx, [rsp+80h+var_4F]  | * | mov esi, offset unk_404A70 ",icc,1
"call __ZNSsC1EPKcRKSaIcE   | * | lea rdi, [rsp+80h+var_60] ",icc,7
"mov esi, offset unk_404A70  | * | lea rdx, [rsp+80h+var_50] ",icc,1
"lea rdi, [rsp+80h+var_60]  | * | call __ZNSsC1EPKcRKSaIcE  ",icc,7
