idiom,label,count
sub_401000 proc near   | * | push esi ,msvc,1
"mov ecx, ds:?cin@std@@3V?$basic_istream@DU?$char_traits@D@std@@@1@A   | * | push offset dword_46EA30 ",msvc,1
push esi  | * | call ds:??5?$basic_istream@DU?$char_traits@D@std@@@std@@QAEAAV01@AAH@Z  ,msvc,1
"push offset dword_46EA30  | * | xor esi, esi ",msvc,1
"call ds:??5?$basic_istream@DU?$char_traits@D@std@@@std@@QAEAAV01@AAH@Z   | * | cmp dword_46EA30, esi ",msvc,1
"xor esi, esi  | * | jle short loc_401054 ",msvc,1
"cmp dword_46EA30, esi  | * | push edi ",msvc,1
"jle short loc_401054  | * | mov edi, ds:scanf ",msvc,1
push edi  | * | jmp short loc_401030 ,msvc,1
"mov edi, ds:scanf  | * | align 10h ",msvc,1
jmp short loc_401030  | * | loc_401030:  ,msvc,1
"align 10h  | * | lea eax, dword_46EA38[esi*4] ",msvc,1
loc_401030:   | * | push eax ,msvc,1
"lea eax, dword_46EA38[esi*4]  | * | lea ecx, dword_403370[esi*4] ",msvc,1
push eax  | * | push ecx ,msvc,1
"lea ecx, dword_403370[esi*4]  | * | push offset Format  ",msvc,1
push ecx  | * | call edi  ,msvc,1
push offset Format   | * | inc esi ,msvc,1
"call edi   | * | add esp, 0Ch ",msvc,1
"inc esi  | * | cmp esi, dword_46EA30 ",msvc,1
"add esp, 0Ch  | * | jl short loc_401030 ",msvc,1
"cmp esi, dword_46EA30  | * | pop edi ",msvc,1
jl short loc_401030  | * | loc_401054:  ,msvc,1
"pop edi  | * | mov ecx, ds:?cin@std@@3V?$basic_istream@DU?$char_traits@D@std@@@1@A  ",msvc,1
loc_401054:   | * | push offset dword_46EA34 ,msvc,1
"mov ecx, ds:?cin@std@@3V?$basic_istream@DU?$char_traits@D@std@@@1@A   | * | call ds:??5?$basic_istream@DU?$char_traits@D@std@@@std@@QAEAAV01@AAH@Z  ",msvc,1
push offset dword_46EA34  | * | pop esi ,msvc,1
call ds:??5?$basic_istream@DU?$char_traits@D@std@@@std@@QAEAAV01@AAH@Z   | * | retn ,msvc,1
pop esi  | * | sub_401000 endp ,msvc,1
retn  | * | align 10h ,msvc,5
sub_401000 endp  | * | sub_401070 proc near  ,msvc,1
var_C = dword ptr -0Ch  | * | var_4 = dword ptr -4 ,data,1
"push ebp  | * | sub esp, 0Ch ",msvc,1
"mov ebp, esp  | * | mov eax, dword_403370 ",msvc,1
"sub esp, 0Ch  | * | push ebx ",msvc,1
"mov eax, dword_403370  | * | push esi ",msvc,1
push ebx  | * | push edi ,msvc,2
"push esi  | * | lea edi, [eax+eax] ",msvc,1
"push edi  | * | mov dword_46EA38, eax ",msvc,1
"lea edi, [eax+eax]  | * | mov eax, dword_46EA34 ",msvc,1
"mov dword_46EA38, eax  | * | xor ecx, ecx ",msvc,1
"mov eax, dword_46EA34  | * | mov edx, 1 ",msvc,1
"xor ecx, ecx  | * | mov [ebp+var_8], edi ",msvc,1
"mov edx, 1  | * | mov [ebp+var_4], ecx ",msvc,1
"mov [ebp+var_8], edi  | * | cmp edi, eax ",msvc,1
"mov [ebp+var_4], ecx  | * | jge loc_401139 ",msvc,1
"cmp edi, eax  | * | loc_4010A0:  ",msvc,1
"jge loc_401139  | * | cmp ecx, edx ",msvc,1
loc_4010A0:   | * | jge loc_401135 ,msvc,1
"cmp ecx, edx  | * | cmp edx, dword_46EA30 ",msvc,1
jge loc_401135  | * | jge short loc_401118 ,msvc,1
"cmp edx, dword_46EA30  | * | mov ebx, dword_403370[ecx*4] ",msvc,1
jge short loc_401118  | * | jmp short loc_4010C3 ,msvc,1
"mov ebx, dword_403370[ecx*4]  | * | align 10h ",msvc,1
jmp short loc_4010C3  | * | loc_4010C0:  ,msvc,1
"align 10h  | * | mov ecx, [ebp+var_4] ",msvc,1
loc_4010C0:   | * | loc_4010C3:  ,msvc,1
"mov ecx, [ebp+var_4]  | * | mov esi, dword_403370[edx*4] ",msvc,1
"loc_4010C3:   | * | mov eax, esi ",msvc,1
"mov esi, dword_403370[edx*4]  | * | sub eax, ebx ",msvc,1
"mov eax, esi  | * | cmp eax, dword_46EA38[ecx*4] ",msvc,1
"sub eax, ebx  | * | jg short loc_401110 ",msvc,1
"cmp eax, dword_46EA38[ecx*4]  | * | cmp eax, dword_46EA38[edx*4] ",msvc,1
"jg short loc_401110  | * | lea ecx, dword_46EA38[edx*4] ",msvc,1
"cmp eax, dword_46EA38[edx*4]  | * | mov [ebp+var_C], eax ",msvc,1
"lea ecx, dword_46EA38[edx*4]  | * | lea eax, [ebp+var_C] ",msvc,1
"mov [ebp+var_C], eax  | * | jl short loc_4010EF ",msvc,1
"lea eax, [ebp+var_C]  | * | mov eax, ecx ",msvc,1
jl short loc_4010EF  | * | loc_4010EF:  ,msvc,1
"mov eax, ecx  | * | mov eax, [eax] ",msvc,1
"loc_4010EF:   | * | mov [ecx], eax ",msvc,1
"mov eax, [eax]  | * | add eax, esi ",msvc,1
"mov [ecx], eax  | * | mov [ebp+var_C], eax ",msvc,1
"add eax, esi  | * | cmp edi, eax ",msvc,1
"mov [ebp+var_C], eax  | * | lea eax, [ebp+var_C] ",msvc,1
"cmp edi, eax  | * | jl short loc_401102 ",msvc,1
"lea eax, [ebp+var_C]  | * | lea eax, [ebp+var_8] ",msvc,1
jl short loc_401102  | * | loc_401102:  ,msvc,1
"lea eax, [ebp+var_8]  | * | mov edi, [eax] ",msvc,1
loc_401102:   | * | inc edx ,msvc,1
"mov edi, [eax]  | * | mov [ebp+var_8], edi ",msvc,1
"inc edx  | * | cmp edx, dword_46EA30 ",msvc,1
"mov [ebp+var_8], edi  | * | jl short loc_4010C0 ",msvc,1
"cmp edx, dword_46EA30  | * | loc_401110:  ",msvc,1
"jl short loc_4010C0  | * | mov eax, dword_46EA34 ",msvc,1
"loc_401110:   | * | mov ecx, [ebp+var_4] ",msvc,1
"mov eax, dword_46EA34  | * | loc_401118:  ",msvc,1
"mov ecx, [ebp+var_4]  | * | inc ecx ",msvc,1
"loc_401118:   | * | mov [ebp+var_4], ecx ",msvc,1
"inc ecx  | * | cmp edi, eax ",msvc,1
"mov [ebp+var_4], ecx  | * | jl short loc_4010A0 ",msvc,1
"cmp edi, eax  | * | push offset Str  ",msvc,1
jl short loc_4010A0  | * | call ds:puts ,msvc,1
"push offset Str   | * | add esp, 4 ",msvc,2
call ds:puts  | * | pop edi ,msvc,3
"add esp, 4  | * | pop esi ",msvc,3
pop edi  | * | pop ebx ,msvc,4
"pop esi  | * | mov esp, ebp ",msvc,4
pop ebx  | * | pop ebp ,msvc,4
"mov esp, ebp  | * | retn ",msvc,5
pop ebp  | * | loc_401135:  ,msvc,1
"retn  | * | cmp eax, edi ",msvc,1
loc_401135:   | * | jg short loc_40114E ,msvc,1
"cmp eax, edi  | * | loc_401139:  ",msvc,1
jg short loc_40114E  | * | push offset Str  ,msvc,1
loc_401139:   | * | call ds:puts ,msvc,1
pop ebp  | * | loc_40114E:  ,msvc,1
retn  | * | push offset aNo  ,msvc,1
loc_40114E:   | * | call ds:puts ,msvc,1
"push offset aNo   | * | add esp, 4 ",msvc,1
pop ebp  | * | sub_401070 endp ,msvc,1
sub_401070 endp  | * | _main proc near  ,msvc,1
var_4 = dword ptr -4  | * | argv = dword ptr 0Ch ,data,1
argc = dword ptr 8  | * | envp = dword ptr 10h ,data,1
"push ebp  | * | and esp, 0FFFFFFF8h ",msvc,1
"mov ebp, esp  | * | sub esp, 8 ",msvc,1
"and esp, 0FFFFFFF8h  | * | mov ecx, ds:?cin@std@@3V?$basic_istream@DU?$char_traits@D@std@@@1@A  ",msvc,1
"sub esp, 8  | * | push esi ",msvc,1
"mov ecx, ds:?cin@std@@3V?$basic_istream@DU?$char_traits@D@std@@@1@A   | * | push edi ",msvc,1
"push esi  | * | lea eax, [esp+10h+var_4] ",msvc,1
push edi  | * | push eax ,msvc,1
"lea eax, [esp+10h+var_4]  | * | call ds:??5?$basic_istream@DU?$char_traits@D@std@@@std@@QAEAAV01@AAH@Z  ",msvc,1
"push eax  | * | mov eax, [esp+10h+var_4] ",msvc,1
"call ds:??5?$basic_istream@DU?$char_traits@D@std@@@std@@QAEAAV01@AAH@Z   | * | xor esi, esi ",msvc,1
"mov eax, [esp+10h+var_4]  | * | test eax, eax ",msvc,1
"xor esi, esi  | * | jle short loc_4011EC ",msvc,1
"test eax, eax  | * | mov edi, ds:printf ",msvc,1
"jle short loc_4011EC  | * | lea esp, [esp+0] ",msvc,1
"mov edi, ds:printf  | * | loc_4011A0:  ",msvc,1
"lea esp, [esp+0]  | * | mov ecx, ds:?endl@std@@YAAAV?$basic_ostream@DU?$char_traits@D@std@@@1@AAV21@@Z  ",msvc,1
loc_4011A0:   | * | push ecx ,msvc,1
"mov ecx, ds:?endl@std@@YAAAV?$basic_ostream@DU?$char_traits@D@std@@@1@AAV21@@Z   | * | mov ecx, ds:?cerr@std@@3V?$basic_ostream@DU?$char_traits@D@std@@@1@A  ",msvc,1
push ecx  | * | push eax ,msvc,1
"mov ecx, ds:?cerr@std@@3V?$basic_ostream@DU?$char_traits@D@std@@@1@A   | * | push esi ",msvc,1
push eax  | * | call ds:??6?$basic_ostream@DU?$char_traits@D@std@@@std@@QAEAAV01@H@Z  ,msvc,1
push esi  | * | push eax ,msvc,1
call ds:??6?$basic_ostream@DU?$char_traits@D@std@@@std@@QAEAAV01@H@Z   | * | call sub_401290 ,msvc,1
"push eax  | * | add esp, 4 ",msvc,1
"call sub_401290  | * | mov ecx, eax ",msvc,1
