idiom,label,count
sub_401000 proc near   | * | jmp ds:??1exception@std@@UAE@XZ  ,msvc,1
"mov dword ptr [ecx], offset ??_7bad_alloc@std@@6B@   | * | sub_401000 endp ",msvc,1
jmp ds:??1exception@std@@UAE@XZ   | * | align 10h ,msvc,1
sub_401000 endp  | * | sub_401010 proc near  ,msvc,1
sub_401010 proc near   | * | push ebp ,msvc,1
push ebp  | * | push esi ,msvc,4
"mov ebp, esp  | * | mov esi, ecx ",msvc,3
"push esi  | * | mov dword ptr [esi], offset ??_7bad_alloc@std@@6B@  ",msvc,1
"mov esi, ecx  | * | call ds:??1exception@std@@UAE@XZ  ",msvc,1
"mov dword ptr [esi], offset ??_7bad_alloc@std@@6B@   | * | test [ebp+arg_0], 1 ",msvc,1
call ds:??1exception@std@@UAE@XZ   | * | jz short loc_401032 ,msvc,1
"test [ebp+arg_0], 1  | * | push esi ",msvc,1
jz short loc_401032  | * | call ds:__imp_??3@YAXPAX@Z  ,msvc,1
"push esi  | * | add esp, 4 ",msvc,2
call ds:__imp_??3@YAXPAX@Z   | * | loc_401032:  ,msvc,1
"add esp, 4  | * | mov eax, esi ",msvc,1
loc_401032:   | * | pop esi ,msvc,1
"mov eax, esi  | * | pop ebp ",msvc,8
pop esi  | * | retn 4 ,msvc,7
pop ebp  | * | sub_401010 endp ,msvc,1
retn 4  | * | align 10h ,msvc,4
sub_401010 endp  | * | align 10h ,msvc,1
align 10h  | * | sub_401050 proc near  ,msvc,1
align 10h  | * | push esi ,msvc,4
"sub_401050 proc near   | * | mov esi, eax ",msvc,1
push esi  | * | push edi ,msvc,4
"mov esi, eax  | * | cmp esi, 4 ",msvc,1
push edi  | * | jb short loc_401074 ,msvc,1
"cmp esi, 4  | * | lea esp, [esp+0] ",msvc,2
jb short loc_401074  | * | loc_401060:  ,msvc,1
"lea esp, [esp+0]  | * | mov eax, [edx] ",msvc,1
"loc_401060:   | * | cmp eax, [ecx] ",msvc,1
"mov eax, [edx]  | * | jnz short loc_401078 ",msvc,1
"cmp eax, [ecx]  | * | sub esi, 4 ",msvc,2
"jnz short loc_401078  | * | add ecx, 4 ",msvc,1
"sub esi, 4  | * | add edx, 4 ",msvc,2
"add ecx, 4  | * | cmp esi, 4 ",msvc,2
"add edx, 4  | * | jnb short loc_401060 ",msvc,1
"cmp esi, 4  | * | loc_401074:  ",msvc,1
"jnb short loc_401060  | * | test esi, esi ",msvc,1
loc_401074:   | * | jz short loc_4010BC ,msvc,1
"test esi, esi  | * | loc_401078:  ",msvc,1
"jz short loc_4010BC  | * | movzx eax, byte ptr [edx] ",msvc,1
"loc_401078:   | * | movzx edi, byte ptr [ecx] ",msvc,1
"movzx eax, byte ptr [edx]  | * | sub eax, edi ",msvc,1
"movzx edi, byte ptr [ecx]  | * | jnz short loc_4010B3 ",msvc,1
"sub eax, edi  | * | cmp esi, 1 ",msvc,4
jnz short loc_4010B3  | * | jbe short loc_4010BC ,msvc,3
"cmp esi, 1  | * | movzx eax, byte ptr [edx+1] ",msvc,2
"jbe short loc_4010BC  | * | movzx edi, byte ptr [ecx+1] ",msvc,1
"movzx eax, byte ptr [edx+1]  | * | sub eax, edi ",msvc,2
"movzx edi, byte ptr [ecx+1]  | * | jnz short loc_4010B3 ",msvc,1
"sub eax, edi  | * | cmp esi, 2 ",msvc,4
"cmp esi, 2  | * | movzx eax, byte ptr [edx+2] ",msvc,2
"jbe short loc_4010BC  | * | movzx edi, byte ptr [ecx+2] ",msvc,1
"movzx eax, byte ptr [edx+2]  | * | sub eax, edi ",msvc,2
"movzx edi, byte ptr [ecx+2]  | * | jnz short loc_4010B3 ",msvc,1
"sub eax, edi  | * | cmp esi, 3 ",msvc,4
