idiom,label,count
var_2C = qword ptr -2Ch  | * | var_8 = byte ptr -8 ,data,1
var_10 = qword ptr -10h  | * | var_4 = dword ptr -4 ,data,1
push ebp  | * | fld1 ,msvc,1
"mov ebp, esp  | * | mov ecx, dword ptr dbl_4DA0F8+4 ",msvc,1
"fld1  | * | sub esp, 14h ",msvc,1
"mov ecx, dword ptr dbl_4DA0F8+4  | * | fstp dbl_403378 ",msvc,1
"sub esp, 14h  | * | push ebx ",msvc,1
fstp dbl_403378  | * | push esi ,msvc,1
push ebx  | * | push edi ,msvc,2
"push esi  | * | mov eax, 1 ",msvc,1
"push edi  | * | cmp ecx, 4 ",msvc,1
"mov eax, 1  | * | jl short loc_40106A ",msvc,1
"cmp ecx, 4  | * | lea edx, [ecx-3] ",msvc,1
jl short loc_40106A  | * | loc_401024:  ,msvc,1
"lea edx, [ecx-3]  | * | fld dbl_4DA0F8[eax*8] ",msvc,1
"loc_401024:   | * | add eax, 4 ",msvc,1
fld dbl_4DA0F8[eax*8]  | * | fmul dbl_403350[eax*8] ,msvc,1
"add eax, 4  | * | fst dbl_403358[eax*8] ",msvc,1
fmul dbl_403350[eax*8]  | * | fmul dbl_4DA0E0[eax*8] ,msvc,1
fst dbl_403358[eax*8]  | * | fst dbl_403360[eax*8] ,msvc,1
fmul dbl_4DA0E0[eax*8]  | * | fmul dbl_4DA0E8[eax*8] ,msvc,1
fst dbl_403360[eax*8]  | * | fst dbl_403368[eax*8] ,msvc,1
fmul dbl_4DA0E8[eax*8]  | * | fmul dbl_4DA0F0[eax*8] ,msvc,1
fst dbl_403368[eax*8]  | * | fstp dbl_403370[eax*8] ,msvc,1
"fmul dbl_4DA0F0[eax*8]  | * | cmp eax, edx ",msvc,1
fstp dbl_403370[eax*8]  | * | jle short loc_401024 ,msvc,1
"cmp eax, edx  | * | loc_40106A:  ",msvc,1
"jle short loc_401024  | * | cmp eax, ecx ",msvc,1
loc_40106A:   | * | jg short loc_40108A ,msvc,1
"cmp eax, ecx  | * | mov edi, edi ",msvc,1
jg short loc_40108A  | * | loc_401070:  ,msvc,1
"mov edi, edi  | * | fld dbl_4DA0F8[eax*8] ",msvc,1
loc_401070:   | * | inc eax ,msvc,1
fld dbl_4DA0F8[eax*8]  | * | fmul dbl_403368[eax*8] ,msvc,1
inc eax  | * | fstp dbl_403370[eax*8] ,msvc,1
"fmul dbl_403368[eax*8]  | * | cmp eax, ecx ",msvc,1
fstp dbl_403370[eax*8]  | * | jle short loc_401070 ,msvc,1
"cmp eax, ecx  | * | loc_40108A:  ",msvc,1
"jle short loc_401070  | * | mov edx, dword ptr dbl_4DA0F8 ",msvc,1
"loc_40108A:   | * | lea eax, [edx+2] ",msvc,1
"mov edx, dword ptr dbl_4DA0F8  | * | mov [ebp+var_4], eax ",msvc,1
"lea eax, [edx+2]  | * | fild [ebp+var_4] ",msvc,1
"mov [ebp+var_4], eax  | * | xor esi, esi ",msvc,1
fild [ebp+var_4]  | * | fst [ebp+var_10] ,msvc,1
"xor esi, esi  | * | test ecx, ecx ",msvc,1
fst [ebp+var_10]  | * | js loc_40113F ,msvc,1
"test ecx, ecx  | * | xor edi, edi ",msvc,1
js loc_40113F  | * | jmp short loc_4010B6 ,msvc,1
"xor edi, edi  | * | align 10h ",msvc,1
jmp short loc_4010B6  | * | loc_4010B0:  ,msvc,1
"align 10h  | * | mov edx, dword ptr dbl_4DA0F8 ",msvc,1
loc_4010B0:   | * | loc_4010B6:  ,msvc,1
