idiom,label,count
var_18 = dword ptr -18h  | * | var_10 = dword ptr -10h ,data,2
var_14 = dword ptr -14h  | * | var_C = dword ptr -0Ch ,data,2
var_10 = dword ptr -10h  | * | var_8 = dword ptr -8 ,data,2
var_C = dword ptr -0Ch  | * | var_4 = dword ptr -4 ,data,4
var_8 = dword ptr -8  | * | argc = dword ptr 8 ,data,1
var_4 = dword ptr -4  | * | argv = dword ptr 0Ch ,data,1
argc = dword ptr 8  | * | envp = dword ptr 10h ,data,1
"push ebp  | * | and esp, 0FFFFFFF8h ",msvc,1
"mov ebp, esp  | * | sub esp, 1Ch ",msvc,1
"and esp, 0FFFFFFF8h  | * | mov ecx, ds:?cin@std@@3V?$basic_istream@DU?$char_traits@D@std@@@1@A  ",msvc,1
"sub esp, 1Ch  | * | push ebx ",msvc,1
"mov ecx, ds:?cin@std@@3V?$basic_istream@DU?$char_traits@D@std@@@1@A   | * | push esi ",msvc,1
push ebx  | * | push edi ,msvc,3
"push esi  | * | lea eax, [esp+28h+var_10] ",msvc,1
push edi  | * | push eax ,msvc,2
"lea eax, [esp+28h+var_10]  | * | call ds:??5?$basic_istream@DU?$char_traits@D@std@@@std@@QAEAAV01@AAH@Z  ",msvc,1
"push eax  | * | mov eax, 1 ",msvc,1
"call ds:??5?$basic_istream@DU?$char_traits@D@std@@@std@@QAEAAV01@AAH@Z   | * | mov [esp+28h+var_14], eax ",msvc,1
"mov eax, 1  | * | cmp [esp+28h+var_10], eax ",msvc,1
"mov [esp+28h+var_14], eax  | * | jl loc_401249 ",msvc,1
"cmp [esp+28h+var_10], eax  | * | loc_401030:  ",msvc,1
"jl loc_401249  | * | mov edi, ds:scanf ",msvc,1
loc_401030:   | * | push offset dword_4081F8 ,msvc,1
"mov edi, ds:scanf  | * | push offset dword_405310 ",msvc,1
push offset dword_4081F8  | * | push offset dword_405314 ,msvc,1
push offset dword_405310  | * | push offset Format  ,msvc,1
push offset dword_405314  | * | call edi  ,msvc,1
"push offset Format   | * | mov eax, dword_405314 ",msvc,1
"call edi   | * | add esp, 10h ",msvc,1
"mov eax, dword_405314  | * | xor esi, esi ",msvc,1
"add esp, 10h  | * | test eax, eax ",msvc,1
"xor esi, esi  | * | jle short loc_401083 ",msvc,1
"test eax, eax  | * | lea ebx, [ebx+0] ",msvc,1
jle short loc_401083  | * | loc_401060:  ,msvc,1
"lea ebx, [ebx+0]  | * | lea ecx, dword_4091A0[esi*8] ",msvc,1
loc_401060:   | * | push ecx ,msvc,1
"lea ecx, dword_4091A0[esi*8]  | * | push offset aD  ",msvc,1
push ecx  | * | call edi  ,msvc,1
"push offset aD   | * | mov eax, dword_405314 ",msvc,1
"call edi   | * | mov dword_4091A4[esi*8], esi ",msvc,1
"mov eax, dword_405314  | * | inc esi ",msvc,1
"mov dword_4091A4[esi*8], esi  | * | add esp, 8 ",msvc,1
"inc esi  | * | cmp esi, eax ",msvc,1
"add esp, 8  | * | jl short loc_401060 ",msvc,1
"cmp esi, eax  | * | loc_401083:  ",msvc,1
"jl short loc_401060  | * | lea eax, dword_4091A0[eax*8] ",msvc,1
"loc_401083:   | * | mov edx, eax ",msvc,1
"lea eax, dword_4091A0[eax*8]  | * | sub edx, offset dword_4091A0 ",msvc,1
"mov edx, eax  | * | sar edx, 3 ",msvc,1
"sub edx, offset dword_4091A0  | * | push edx ",msvc,1
"sar edx, 3  | * | push eax ",msvc,1
push edx  | * | push offset dword_4091A0 ,msvc,1
push eax  | * | call sub_401580 ,msvc,2
"push offset dword_4091A0  | * | mov esi, dword_405314 ",msvc,1
"call sub_401580  | * | lea eax, dword_4091A0[esi*8] ",msvc,1
"mov esi, dword_405314  | * | mov ecx, offset dword_4091A0 ",msvc,1
"lea eax, dword_4091A0[esi*8]  | * | add esp, 0Ch ",msvc,1
"mov ecx, offset dword_4091A0  | * | cmp eax, ecx ",msvc,1
"add esp, 0Ch  | * | jz short loc_4010E2 ",msvc,1
"cmp eax, ecx  | * | lea ebx, [ebx+0] ",msvc,1
jz short loc_4010E2  | * | loc_4010C0:  ,msvc,1
"lea ebx, [ebx+0]  | * | sub eax, 8 ",msvc,1
"loc_4010C0:   | * | cmp ecx, eax ",msvc,1
"sub eax, 8  | * | jz short loc_4010E2 ",msvc,1
"cmp ecx, eax  | * | mov edx, [ecx] ",msvc,1
"jz short loc_4010E2  | * | mov edi, [eax] ",msvc,1
"mov edx, [ecx]  | * | mov [ecx], edi ",msvc,1
"mov edi, [eax]  | * | mov [eax], edx ",msvc,1
"mov [ecx], edi  | * | mov edx, [ecx+4] ",msvc,1
"mov [eax], edx  | * | mov edi, [eax+4] ",msvc,1
"mov edx, [ecx+4]  | * | mov [ecx+4], edi ",msvc,1
"mov edi, [eax+4]  | * | add ecx, 8 ",msvc,1
"mov [ecx+4], edi  | * | mov [eax+4], edx ",msvc,1
"add ecx, 8  | * | cmp ecx, eax ",msvc,1
"mov [eax+4], edx  | * | jnz short loc_4010C0 ",msvc,1
"cmp ecx, eax  | * | loc_4010E2:  ",msvc,1
"jnz short loc_4010C0  | * | mov eax, 88CA6C00h ",msvc,1
"loc_4010E2:   | * | mov dword_405318, eax ",msvc,1
"mov eax, 88CA6C00h  | * | mov dword_4062B8, eax ",msvc,1
"mov dword_405318, eax  | * | xor edx, edx ",msvc,1
"mov dword_4062B8, eax  | * | xor eax, eax ",msvc,1
"xor edx, edx  | * | mov ebx, 1 ",msvc,1
"xor eax, eax  | * | mov dword_404370, 77359400h ",msvc,1
"mov ebx, 1  | * | mov [esp+28h+var_18], eax ",msvc,1
"mov dword_404370, 77359400h  | * | cmp esi, edx ",msvc,1
"mov [esp+28h+var_18], eax  | * | jle loc_4011BA ",msvc,1
"cmp esi, edx  | * | jmp short loc_401114 ",msvc,1
jle loc_4011BA  | * | loc_401112:  ,msvc,1
"jmp short loc_401114  | * | xor edx, edx ",msvc,1
loc_401112:   | * | loc_401114:  ,msvc,1
"xor edx, edx  | * | mov ecx, dword_4091A0[eax*8] ",msvc,1
"loc_401114:   | * | cmp ebx, edx ",msvc,1
"mov ecx, dword_4091A0[eax*8]  | * | jle short loc_401182 ",msvc,1
"cmp ebx, edx  | * | mov [esp+28h+var_8], edx ",msvc,1
"jle short loc_401182  | * | mov [esp+28h+var_4], edx ",msvc,1
"mov [esp+28h+var_8], edx  | * | loc_401127:  ",msvc,1
"mov [esp+28h+var_4], edx  | * | mov eax, dword_405318[edx*4] ",msvc,1
"loc_401127:   | * | add eax, ecx ",msvc,1
"mov eax, dword_405318[edx*4]  | * | mov [esp+28h+var_C], eax ",msvc,1
"add eax, ecx  | * | test eax, eax ",msvc,2
"mov [esp+28h+var_C], eax  | * | lea eax, [esp+28h+var_C] ",msvc,2
"test eax, eax  | * | jg short loc_401140 ",msvc,1
"lea eax, [esp+28h+var_C]  | * | lea eax, [esp+28h+var_8] ",msvc,1
jg short loc_401140  | * | loc_401140:  ,msvc,1
"lea eax, [esp+28h+var_8]  | * | mov esi, [eax] ",msvc,1
"loc_401140:   | * | mov eax, dword_4062B8[edx*4] ",msvc,1
"mov esi, [eax]  | * | add eax, ecx ",msvc,1
"mov eax, dword_4062B8[edx*4]  | * | mov [esp+28h+var_C], eax ",msvc,1
"test eax, eax  | * | jg short loc_40115B ",msvc,1
"lea eax, [esp+28h+var_C]  | * | lea eax, [esp+28h+var_4] ",msvc,1
jg short loc_40115B  | * | loc_40115B:  ,msvc,1
"lea eax, [esp+28h+var_4]  | * | mov eax, [eax] ",msvc,1
"loc_40115B:   | * | cmp esi, dword_405310 ",msvc,1
"mov eax, [eax]  | * | jg short loc_40117D ",msvc,1
"cmp esi, dword_405310  | * | cmp eax, dword_4081F8 ",msvc,1
jg short loc_40117D  | * | jg short loc_40117D ,msvc,1
"cmp eax, dword_4081F8  | * | lea edi, [eax+ecx] ",msvc,1
"jg short loc_40117D  | * | cmp edi, dword_404370[edx*4] ",msvc,1
"lea edi, [eax+ecx]  | * | jle loc_401252 ",msvc,1
"cmp edi, dword_404370[edx*4]  | * | loc_40117D:  ",msvc,1
jle loc_401252  | * | inc edx ,msvc,1
"loc_40117D:   | * | cmp edx, ebx ",msvc,1
inc edx  | * | jl short loc_401127 ,msvc,1
"cmp edx, ebx  | * | loc_401182:  ",msvc,1
"jl short loc_401127  | * | mov eax, ds:?endl@std@@YAAAV?$basic_ostream@DU?$char_traits@D@std@@@1@AAV21@@Z  ",msvc,1
loc_401182:   | * | push eax ,msvc,1
"mov eax, ds:?endl@std@@YAAAV?$basic_ostream@DU?$char_traits@D@std@@@1@AAV21@@Z   | * | push ecx ",msvc,1
"push eax  | * | mov ecx, ds:?cerr@std@@3V?$basic_ostream@DU?$char_traits@D@std@@@1@A  ",msvc,1
push ecx  | * | push offset aBad  ,msvc,1
"mov ecx, ds:?cerr@std@@3V?$basic_ostream@DU?$char_traits@D@std@@@1@A   | * | push ecx ",msvc,1
