idiom,label,count
sub_401000 proc near   | * | jmp ds:??1exception@std@@UAE@XZ  ,msvc,1
"mov dword ptr [ecx], offset ??_7bad_alloc@std@@6B@   | * | sub_401000 endp ",msvc,1
jmp ds:??1exception@std@@UAE@XZ   | * | align 10h ,msvc,1
sub_401000 endp  | * | sub_401010 proc near  ,msvc,1
sub_401010 proc near   | * | push ebp ,msvc,1
push ebp  | * | push esi ,msvc,1
"mov ebp, esp  | * | mov esi, ecx ",msvc,1
"push esi  | * | mov dword ptr [esi], offset ??_7bad_alloc@std@@6B@  ",msvc,1
"mov esi, ecx  | * | call ds:??1exception@std@@UAE@XZ  ",msvc,1
"mov dword ptr [esi], offset ??_7bad_alloc@std@@6B@   | * | test [ebp+arg_0], 1 ",msvc,1
call ds:??1exception@std@@UAE@XZ   | * | jz short loc_401032 ,msvc,1
"test [ebp+arg_0], 1  | * | push esi ",msvc,1
jz short loc_401032  | * | call ds:__imp_??3@YAXPAX@Z  ,msvc,1
"push esi  | * | add esp, 4 ",msvc,1
call ds:__imp_??3@YAXPAX@Z   | * | loc_401032:  ,msvc,1
"add esp, 4  | * | mov eax, esi ",msvc,1
loc_401032:   | * | pop esi ,msvc,1
"mov eax, esi  | * | pop ebp ",msvc,2
pop esi  | * | retn 4 ,msvc,2
pop ebp  | * | sub_401010 endp ,msvc,1
retn 4  | * | align 10h ,msvc,3
sub_401010 endp  | * | sub_401040 proc near  ,msvc,1
var_4 = dword ptr -4  | * | arg_4 = dword ptr 0Ch ,data,4
arg_0 = dword ptr 8  | * | arg_8 = dword ptr 10h ,data,3
"push ebp  | * | sub esp, 8 ",msvc,2
"mov ebp, esp  | * | push ebx ",msvc,2
"sub esp, 8  | * | mov ebx, [ebp+arg_0] ",msvc,1
"push ebx  | * | shl ebx, 4 ",msvc,1
"mov ebx, [ebp+arg_0]  | * | mov eax, dword_408254[ebx] ",msvc,1
"shl ebx, 4  | * | sub eax, dword_408250[ebx] ",msvc,1
"mov eax, dword_408254[ebx]  | * | push esi ",msvc,1
"sub eax, dword_408250[ebx]  | * | push edi ",msvc,1
"push esi  | * | test eax, 0FFFFFFFCh ",msvc,1
push edi  | * | jz loc_401114 ,msvc,1
"test eax, 0FFFFFFFCh  | * | mov eax, dword_408254[ebx] ",msvc,1
"jz loc_401114  | * | mov ecx, dword_408250[ebx] ",msvc,1
"mov eax, dword_408254[ebx]  | * | mov edx, eax ",msvc,1
"mov ecx, dword_408250[ebx]  | * | sub edx, ecx ",msvc,1
"mov edx, eax  | * | sar edx, 2 ",msvc,1
"sub edx, ecx  | * | push edx ",msvc,1
"sar edx, 2  | * | push eax ",msvc,1
push edx  | * | push ecx ,msvc,1
push eax  | * | call sub_401950 ,msvc,2
"push ecx  | * | mov eax, dword_408254[ebx] ",msvc,1
"call sub_401950  | * | sub eax, dword_408250[ebx] ",msvc,1
"mov eax, dword_408254[ebx]  | * | add esp, 0Ch ",msvc,1
"sub eax, dword_408250[ebx]  | * | mov [ebp+var_4], 0 ",msvc,1
"add esp, 0Ch  | * | test eax, 0FFFFFFFCh ",msvc,1
"mov [ebp+var_4], 0  | * | jle short loc_401114 ",msvc,1
"test eax, 0FFFFFFFCh  | * | mov edx, [ebp+arg_8] ",msvc,1
"jle short loc_401114  | * | mov ecx, [ebp+arg_4] ",msvc,1
"mov edx, [ebp+arg_8]  | * | loc_4010A4:  ",msvc,1
"mov ecx, [ebp+arg_4]  | * | mov eax, dword_408250[ebx] ",msvc,1
"loc_4010A4:   | * | mov esi, [ebp+var_4] ",msvc,1
"mov eax, dword_408250[ebx]  | * | mov esi, [eax+esi*4] ",msvc,1
"mov esi, [ebp+var_4]  | * | mov edi, [ebp+arg_0] ",msvc,1
