idiom,label,count
"public _start  | * | xor ebp, ebp ",icc,20
"_start proc near   | * | mov r9, rdx  ",icc,20
"xor ebp, ebp  | * | pop rsi  ",icc,20
"mov r9, rdx   | * | mov rdx, rsp  ",icc,20
"pop rsi   | * | and rsp, 0FFFFFFFFFFFFFFF0h ",icc,20
"mov rdx, rsp   | * | push rax ",icc,20
"and rsp, 0FFFFFFFFFFFFFFF0h  | * | push rsp  ",icc,20
"push rax  | * | mov r8, offset __libc_csu_fini  ",icc,20
"push rsp   | * | mov rcx, offset __libc_csu_init  ",icc,20
"mov r8, offset __libc_csu_fini   | * | mov rdi, offset main  ",icc,20
"mov rcx, offset __libc_csu_init   | * | call ___libc_start_main ",icc,20
"mov rdi, offset main   | * | hlt ",icc,20
call ___libc_start_main  | * | _start endp ,icc,20
hlt  | * | align 4 ,icc,20
_start endp  | * | call_gmon_start proc near  ,icc,20
"align 4  | * | sub rsp, 8 ",icc,20
"call_gmon_start proc near   | * | mov rax, cs:__gmon_start___ptr ",icc,20
"sub rsp, 8  | * | test rax, rax ",icc,20
"mov rax, cs:__gmon_start___ptr  | * | jz short loc_40118E ",icc,1
"test rax, rax  | * | call rax  ",icc,20
jz short loc_40118E  | * | loc_40118E:  ,icc,1
"call rax   | * | add rsp, 8 ",icc,20
loc_40118E:   | * | retn ,icc,1
"add rsp, 8  | * | call_gmon_start endp ",icc,20
retn  | * | align 20h ,icc,115
call_gmon_start endp  | * | __do_global_dtors_aux proc near  ,icc,20
align 20h  | * | push rbp ,icc,20
"__do_global_dtors_aux proc near   | * | mov rbp, rsp ",icc,20
push rbp  | * | push rbx ,icc,40
"mov rbp, rsp  | * | sub rsp, 8 ",icc,40
"push rbx  | * | cmp cs:completed_6531, 0 ",icc,19
"sub rsp, 8  | * | jnz short loc_4011FD ",icc,1
"cmp cs:completed_6531, 0  | * | mov ebx, offset __DTOR_END__ ",icc,19
"jnz short loc_4011FD  | * | mov rax, cs:dtor_idx_6533 ",icc,1
"mov ebx, offset __DTOR_END__  | * | sub rbx, offset __DTOR_LIST__ ",icc,20
"mov rax, cs:dtor_idx_6533  | * | sar rbx, 3 ",icc,20
"sub rbx, offset __DTOR_LIST__  | * | sub rbx, 1 ",icc,20
"sar rbx, 3  | * | cmp rax, rbx ",icc,20
"sub rbx, 1  | * | jnb short loc_4011F6 ",icc,1
"cmp rax, rbx  | * | nop word ptr [rax+rax+00h] ",icc,20
jnb short loc_4011F6  | * | loc_4011D8:  ,icc,1
"nop word ptr [rax+rax+00h]  | * | add rax, 1 ",icc,20
"loc_4011D8:   | * | mov cs:dtor_idx_6533, rax ",icc,1
"add rax, 1  | * | call ds:__DTOR_LIST__[rax*8] ",icc,20
"mov cs:dtor_idx_6533, rax  | * | mov rax, cs:dtor_idx_6533 ",icc,20
"call ds:__DTOR_LIST__[rax*8]  | * | cmp rax, rbx ",icc,20
"mov rax, cs:dtor_idx_6533  | * | jb short loc_4011D8 ",icc,1
"cmp rax, rbx  | * | loc_4011F6:  ",icc,1
"jb short loc_4011D8  | * | mov cs:completed_6531, 1 ",icc,1
loc_4011F6:   | * | loc_4011FD:  ,icc,1
"mov cs:completed_6531, 1  | * | add rsp, 8 ",icc,19
loc_4011FD:   | * | pop rbx ,icc,1
"add rsp, 8  | * | pop rbp ",icc,40
pop rbx  | * | retn ,icc,62
pop rbp  | * | __do_global_dtors_aux endp ,icc,20
retn  | * | align 10h ,icc,112
__do_global_dtors_aux endp  | * | frame_dummy proc near  ,icc,20
"align 10h  | * | cmp cs:__JCR_LIST__, 0 ",icc,10
frame_dummy proc near   | * | push rbp ,icc,20
"cmp cs:__JCR_LIST__, 0  | * | mov rbp, rsp ",icc,20
push rbp  | * | jz short loc_401230 ,icc,1
"mov rbp, rsp  | * | mov eax, 0 ",icc,20
"jz short loc_401230  | * | test rax, rax ",icc,1
"mov eax, 0  | * | jz short loc_401230 ",icc,1
"test rax, rax  | * | pop rbp ",icc,20
"jz short loc_401230  | * | mov edi, offset __JCR_LIST__ ",icc,1
pop rbp  | * | jmp rax ,icc,20
"mov edi, offset __JCR_LIST__  | * | loc_401230:  ",icc,1
jmp rax  | * | pop rbp ,icc,20
loc_401230:   | * | retn ,icc,1
pop rbp  | * | frame_dummy endp ,icc,20
frame_dummy endp  | * | public main ,icc,20
align 20h  | * | main proc near  ,icc,10
var_80 = dword ptr -80h  | * | var_70 = qword ptr -70h ,data,1
var_7C = dword ptr -7Ch  | * | var_68 = qword ptr -68h ,data,1
var_70 = qword ptr -70h  | * | var_60 = qword ptr -60h ,data,12
var_68 = qword ptr -68h  | * | var_58 = byte ptr -58h ,data,1
var_60 = qword ptr -60h  | * | var_57 = byte ptr -57h ,data,1
var_58 = byte ptr -58h  | * | var_56 = byte ptr -56h ,data,1
var_57 = byte ptr -57h  | * | var_55 = byte ptr -55h ,data,1
var_56 = byte ptr -56h  | * | arg_0 = qword ptr 10h ,data,1
var_55 = byte ptr -55h  | * | arg_8 = qword ptr 18h ,data,1
