idiom,label,count
__Z4readv proc near   | * | push rbp ,xcode,1
"push rbp  | * | sub rsp, 10h ",xcode,2
"mov rbp, rsp  | * | mov rdi, cs:__ZNSt3__13cinE_ptr ",xcode,2
"sub rsp, 10h  | * | lea rsi, _a ",xcode,1
"mov rdi, cs:__ZNSt3__13cinE_ptr  | * | call __ZNSt3__113basic_istreamIcNS_11char_traitsIcEEErsERi  ",xcode,1
"lea rsi, _a  | * | lea rsi, _b ",xcode,1
"call __ZNSt3__113basic_istreamIcNS_11char_traitsIcEEErsERi   | * | mov rdi, rax ",xcode,1
"lea rsi, _b  | * | call __ZNSt3__113basic_istreamIcNS_11char_traitsIcEEErsERi  ",xcode,1
"mov rdi, rax  | * | mov [rbp+var_8], rax ",xcode,1
"call __ZNSt3__113basic_istreamIcNS_11char_traitsIcEEErsERi   | * | add rsp, 10h ",xcode,1
"mov [rbp+var_8], rax  | * | pop rbp ",xcode,1
"add rsp, 10h  | * | retn ",xcode,1
pop rbp  | * | __Z4readv endp ,xcode,1
retn  | * | align 20h ,xcode,3
__Z4readv endp  | * | public __Z3leni ,xcode,1
align 20h  | * | __Z3leni proc near  ,xcode,1
var_C = dword ptr -0Ch  | * | var_4 = dword ptr -4 ,data,2
"push rbp  | * | mov [rbp+var_4], edi ",xcode,1
"mov rbp, rsp  | * | mov [rbp+var_8], 0FFFFFFFFh ",xcode,1
"mov [rbp+var_4], edi  | * | loc_10000086E:  ",xcode,1
"mov [rbp+var_8], 0FFFFFFFFh  | * | cmp [rbp+var_4], 0 ",xcode,1
loc_10000086E:   | * | jz loc_1000008A2 ,xcode,1
"cmp [rbp+var_4], 0  | * | mov eax, 0Ah ",xcode,1
"jz loc_1000008A2  | * | mov ecx, [rbp+var_8] ",xcode,1
"mov eax, 0Ah  | * | add ecx, 1 ",xcode,1
"mov ecx, [rbp+var_8]  | * | mov [rbp+var_8], ecx ",xcode,1
"add ecx, 1  | * | mov ecx, [rbp+var_4] ",xcode,1
"mov [rbp+var_8], ecx  | * | mov [rbp+var_C], eax ",xcode,1
"mov ecx, [rbp+var_4]  | * | mov eax, ecx ",xcode,1
"mov [rbp+var_C], eax  | * | cdq ",xcode,1
"mov eax, ecx  | * | mov ecx, [rbp+var_C] ",xcode,1
cdq  | * | idiv ecx ,xcode,3
"mov ecx, [rbp+var_C]  | * | mov [rbp+var_4], eax ",xcode,1
idiv ecx  | * | jmp loc_10000086E ,xcode,1
"mov [rbp+var_4], eax  | * | loc_1000008A2:  ",xcode,1
"jmp loc_10000086E  | * | mov eax, [rbp+var_8] ",xcode,1
loc_1000008A2:   | * | pop rbp ,xcode,1
"mov eax, [rbp+var_8]  | * | retn ",xcode,1
pop rbp  | * | __Z3leni endp ,xcode,1
retn  | * | align 10h ,xcode,2
__Z3leni endp  | * | public __Z5solvev ,xcode,1
align 10h  | * | __Z5solvev proc near  ,xcode,1
var_98 = qword ptr -98h  | * | var_88 = dword ptr -88h ,data,1
var_8C = dword ptr -8Ch  | * | var_84 = dword ptr -84h ,data,1
var_88 = dword ptr -88h  | * | var_80 = dword ptr -80h ,data,1
var_84 = dword ptr -84h  | * | var_7C = dword ptr -7Ch ,data,1
var_80 = dword ptr -80h  | * | var_78 = dword ptr -78h ,data,1
var_7C = dword ptr -7Ch  | * | var_74 = dword ptr -74h ,data,1
var_78 = dword ptr -78h  | * | var_70 = qword ptr -70h ,data,2
var_74 = dword ptr -74h  | * | var_64 = dword ptr -64h ,data,1
var_70 = qword ptr -70h  | * | var_60 = dword ptr -60h ,data,1
var_64 = dword ptr -64h  | * | var_5C = dword ptr -5Ch ,data,1
var_60 = dword ptr -60h  | * | var_50 = qword ptr -50h ,data,1
var_5C = dword ptr -5Ch  | * | var_48 = qword ptr -48h ,data,1
var_50 = qword ptr -50h  | * | var_40 = byte ptr -40h ,data,1
var_48 = qword ptr -48h  | * | var_38 = qword ptr -38h ,data,3
var_40 = byte ptr -40h  | * | var_30 = qword ptr -30h ,data,1
var_38 = qword ptr -38h  | * | var_20 = qword ptr -20h ,data,1
var_30 = qword ptr -30h  | * | var_18 = qword ptr -18h ,data,1
var_20 = qword ptr -20h  | * | var_10 = qword ptr -10h ,data,2
var_18 = qword ptr -18h  | * | var_8 = qword ptr -8 ,data,3
"push rbp  | * | sub rsp, 0A0h ",xcode,1
"mov rbp, rsp  | * | mov edi, cs:_a  ",xcode,1
"sub rsp, 0A0h  | * | call __Z3leni  ",xcode,1
"mov edi, cs:_a   | * | mov [rbp+var_5C], eax ",xcode,1
"call __Z3leni   | * | mov [rbp+var_60], 1 ",xcode,1
"mov [rbp+var_5C], eax  | * | mov [rbp+var_64], 0 ",xcode,1
