idiom,label,count
var_14 = dword ptr -14h  | * | var_4 = dword ptr -4 ,data,1
"push rbp  | * | sub rsp, 20h ",xcode,2
"mov rbp, rsp  | * | mov rdi, cs:__ZNSt3__13cinE_ptr ",xcode,2
"sub rsp, 20h  | * | lea rsi, _k ",xcode,1
"mov rdi, cs:__ZNSt3__13cinE_ptr  | * | call __ZNSt3__113basic_istreamIcNS_11char_traitsIcEEErsERi  ",xcode,1
"lea rsi, _k  | * | lea rsi, _n ",xcode,1
"call __ZNSt3__113basic_istreamIcNS_11char_traitsIcEEErsERi   | * | mov rdi, rax ",xcode,2
"lea rsi, _n  | * | call __ZNSt3__113basic_istreamIcNS_11char_traitsIcEEErsERi  ",xcode,1
"mov rdi, rax  | * | lea rsi, _m ",xcode,1
"lea rsi, _m  | * | call __ZNSt3__113basic_istreamIcNS_11char_traitsIcEEErsERi  ",xcode,1
"mov rdi, rax  | * | mov [rbp+var_4], 0 ",xcode,1
"call __ZNSt3__113basic_istreamIcNS_11char_traitsIcEEErsERi   | * | mov [rbp+var_10], rax ",xcode,1
"mov [rbp+var_4], 0  | * | loc_100001714:  ",xcode,1
"mov [rbp+var_10], rax  | * | mov eax, [rbp+var_4] ",xcode,1
"loc_100001714:   | * | cmp eax, cs:_k ",xcode,1
"mov eax, [rbp+var_4]  | * | jge loc_100001759 ",xcode,1
"cmp eax, cs:_k  | * | lea rdi, aD  ",xcode,1
"jge loc_100001759  | * | lea rax, _r ",xcode,1
"lea rdi, aD   | * | movsxd rcx, [rbp+var_4] ",xcode,1
"lea rax, _r  | * | shl rcx, 2 ",xcode,1
"movsxd rcx, [rbp+var_4]  | * | add rax, rcx ",xcode,1
"shl rcx, 2  | * | mov rsi, rax ",xcode,1
"add rax, rcx  | * | mov al, 0 ",xcode,1
"mov rsi, rax  | * | call _scanf ",xcode,1
"mov al, 0  | * | mov [rbp+var_14], eax ",xcode,1
"call _scanf  | * | mov eax, [rbp+var_4] ",xcode,1
"mov [rbp+var_14], eax  | * | add eax, 1 ",xcode,1
"mov eax, [rbp+var_4]  | * | mov [rbp+var_4], eax ",xcode,1
"add eax, 1  | * | jmp loc_100001714 ",xcode,1
"mov [rbp+var_4], eax  | * | loc_100001759:  ",xcode,1
"jmp loc_100001714  | * | add rsp, 20h ",xcode,1
loc_100001759:   | * | pop rbp ,xcode,1
"add rsp, 20h  | * | retn ",xcode,2
pop rbp  | * | __Z4readv endp ,xcode,1
retn  | * | align 20h ,xcode,14
__Z4readv endp  | * | public __Z3recii ,xcode,1
align 20h  | * | __Z3recii proc near  ,xcode,1
var_5E0 = qword ptr -5E0h  | * | var_5D0 = qword ptr -5D0h ,data,2
var_5D8 = qword ptr -5D8h  | * | var_5C4 = dword ptr -5C4h ,data,1
var_5D0 = qword ptr -5D0h  | * | var_5C0 = qword ptr -5C0h ,data,3
var_5C4 = dword ptr -5C4h  | * | var_5B8 = qword ptr -5B8h ,data,1
var_5C0 = qword ptr -5C0h  | * | var_5AC = dword ptr -5ACh ,data,1
var_5B8 = qword ptr -5B8h  | * | var_5A8 = qword ptr -5A8h ,data,2
var_5AC = dword ptr -5ACh  | * | var_5A0 = qword ptr -5A0h ,data,1
var_5A8 = qword ptr -5A8h  | * | var_598 = qword ptr -598h ,data,2
var_5A0 = qword ptr -5A0h  | * | var_590 = dword ptr -590h ,data,1
var_598 = qword ptr -598h  | * | var_58C = dword ptr -58Ch ,data,1
var_590 = dword ptr -590h  | * | var_588 = qword ptr -588h ,data,1
var_58C = dword ptr -58Ch  | * | var_580 = dword ptr -580h ,data,1
var_588 = qword ptr -588h  | * | var_57C = dword ptr -57Ch ,data,1
var_580 = dword ptr -580h  | * | var_578 = byte ptr -578h ,data,1
var_57C = dword ptr -57Ch  | * | var_570 = dword ptr -570h ,data,1
var_578 = byte ptr -578h  | * | var_56C = dword ptr -56Ch ,data,1
var_570 = dword ptr -570h  | * | var_568 = byte ptr -568h ,data,1
var_56C = dword ptr -56Ch  | * | var_560 = dword ptr -560h ,data,1
var_568 = byte ptr -568h  | * | var_55C = dword ptr -55Ch ,data,1
var_560 = dword ptr -560h  | * | var_558 = byte ptr -558h ,data,1
var_55C = dword ptr -55Ch  | * | var_550 = dword ptr -550h ,data,1
var_558 = byte ptr -558h  | * | var_54C = dword ptr -54Ch ,data,1
var_550 = dword ptr -550h  | * | var_548 = byte ptr -548h ,data,1
var_54C = dword ptr -54Ch  | * | var_540 = dword ptr -540h ,data,1
var_548 = byte ptr -548h  | * | var_539 = byte ptr -539h ,data,1
var_540 = dword ptr -540h  | * | var_538 = dword ptr -538h ,data,1
var_539 = byte ptr -539h  | * | var_531 = byte ptr -531h ,data,1
var_538 = dword ptr -538h  | * | var_530 = qword ptr -530h ,data,1
var_531 = byte ptr -531h  | * | var_528 = qword ptr -528h ,data,1
var_530 = qword ptr -530h  | * | var_520 = qword ptr -520h ,data,3
var_528 = qword ptr -528h  | * | var_518 = dword ptr -518h ,data,1
var_520 = qword ptr -520h  | * | var_514 = dword ptr -514h ,data,1
var_518 = dword ptr -518h  | * | var_510 = dword ptr -510h ,data,1
var_514 = dword ptr -514h  | * | var_50C = dword ptr -50Ch ,data,1
var_510 = dword ptr -510h  | * | var_508 = dword ptr -508h ,data,1
var_50C = dword ptr -50Ch  | * | var_501 = byte ptr -501h ,data,1
var_508 = dword ptr -508h  | * | var_500 = qword ptr -500h ,data,1
var_501 = byte ptr -501h  | * | var_4F8 = qword ptr -4F8h ,data,1
var_500 = qword ptr -500h  | * | var_4F0 = qword ptr -4F0h ,data,3
var_4F8 = qword ptr -4F8h  | * | var_4E8 = qword ptr -4E8h ,data,3
var_4F0 = qword ptr -4F0h  | * | var_4E0 = qword ptr -4E0h ,data,3
var_4E8 = qword ptr -4E8h  | * | var_4D8 = qword ptr -4D8h ,data,3
var_4E0 = qword ptr -4E0h  | * | var_4D0 = qword ptr -4D0h ,data,1
var_4D8 = qword ptr -4D8h  | * | var_4C8 = qword ptr -4C8h ,data,2
var_4D0 = qword ptr -4D0h  | * | var_4C0 = qword ptr -4C0h ,data,1
var_4C8 = qword ptr -4C8h  | * | var_4B8 = qword ptr -4B8h ,data,2
var_4C0 = qword ptr -4C0h  | * | var_4B0 = qword ptr -4B0h ,data,2
var_4B8 = qword ptr -4B8h  | * | var_4A8 = qword ptr -4A8h ,data,2
var_4B0 = qword ptr -4B0h  | * | var_4A0 = qword ptr -4A0h ,data,1
var_4A8 = qword ptr -4A8h  | * | var_498 = qword ptr -498h ,data,2
var_4A0 = qword ptr -4A0h  | * | var_490 = qword ptr -490h ,data,2
var_498 = qword ptr -498h  | * | var_488 = qword ptr -488h ,data,3
var_490 = qword ptr -490h  | * | var_480 = qword ptr -480h ,data,3
var_488 = qword ptr -488h  | * | var_478 = qword ptr -478h ,data,2
var_480 = qword ptr -480h  | * | var_470 = qword ptr -470h ,data,3
var_478 = qword ptr -478h  | * | var_468 = qword ptr -468h ,data,2
var_470 = qword ptr -470h  | * | var_460 = qword ptr -460h ,data,4
var_468 = qword ptr -468h  | * | var_458 = qword ptr -458h ,data,4
var_460 = qword ptr -460h  | * | var_440 = qword ptr -440h ,data,1
var_458 = qword ptr -458h  | * | var_438 = qword ptr -438h ,data,1
var_440 = qword ptr -440h  | * | var_430 = qword ptr -430h ,data,3
var_438 = qword ptr -438h  | * | var_428 = qword ptr -428h ,data,4
var_430 = qword ptr -430h  | * | var_420 = qword ptr -420h ,data,3
var_428 = qword ptr -428h  | * | var_408 = qword ptr -408h ,data,1
var_420 = qword ptr -420h  | * | var_400 = qword ptr -400h ,data,1
var_408 = qword ptr -408h  | * | var_3F8 = qword ptr -3F8h ,data,4
var_400 = qword ptr -400h  | * | var_3F0 = qword ptr -3F0h ,data,2
var_3F8 = qword ptr -3F8h  | * | var_3E8 = qword ptr -3E8h ,data,3
var_3F0 = qword ptr -3F0h  | * | var_3E0 = qword ptr -3E0h ,data,3
var_3E8 = qword ptr -3E8h  | * | var_3D8 = qword ptr -3D8h ,data,2
var_3E0 = qword ptr -3E0h  | * | var_3D0 = qword ptr -3D0h ,data,3
var_3D8 = qword ptr -3D8h  | * | var_3C8 = qword ptr -3C8h ,data,2
var_3D0 = qword ptr -3D0h  | * | var_3C0 = dword ptr -3C0h ,data,1
var_3C8 = qword ptr -3C8h  | * | var_3BC = dword ptr -3BCh ,data,1
var_3C0 = dword ptr -3C0h  | * | var_3B8 = qword ptr -3B8h ,data,1
var_3BC = dword ptr -3BCh  | * | var_3B0 = qword ptr -3B0h ,data,1
var_3B8 = qword ptr -3B8h  | * | var_3A8 = qword ptr -3A8h ,data,3
var_3B0 = qword ptr -3B0h  | * | var_3A0 = qword ptr -3A0h ,data,3
var_3A8 = qword ptr -3A8h  | * | var_398 = qword ptr -398h ,data,3
var_3A0 = qword ptr -3A0h  | * | var_390 = qword ptr -390h ,data,3
var_398 = qword ptr -398h  | * | var_380 = qword ptr -380h ,data,1
var_390 = qword ptr -390h  | * | var_378 = qword ptr -378h ,data,1
var_380 = qword ptr -380h  | * | var_370 = byte ptr -370h ,data,1
var_378 = qword ptr -378h  | * | var_368 = qword ptr -368h ,data,3
var_370 = byte ptr -370h  | * | var_360 = qword ptr -360h ,data,1
var_368 = qword ptr -368h  | * | var_358 = qword ptr -358h ,data,3
var_360 = qword ptr -360h  | * | var_350 = qword ptr -350h ,data,2
var_358 = qword ptr -358h  | * | var_348 = qword ptr -348h ,data,2
var_350 = qword ptr -350h  | * | var_340 = qword ptr -340h ,data,2
var_348 = qword ptr -348h  | * | var_338 = qword ptr -338h ,data,2
var_340 = qword ptr -340h  | * | var_330 = qword ptr -330h ,data,1
var_338 = qword ptr -338h  | * | var_328 = qword ptr -328h ,data,2
var_330 = qword ptr -330h  | * | var_320 = qword ptr -320h ,data,1
var_328 = qword ptr -328h  | * | var_318 = qword ptr -318h ,data,2
var_320 = qword ptr -320h  | * | var_310 = qword ptr -310h ,data,2
var_318 = qword ptr -318h  | * | var_308 = qword ptr -308h ,data,2
var_310 = qword ptr -310h  | * | var_300 = qword ptr -300h ,data,3
var_308 = qword ptr -308h  | * | var_2F8 = qword ptr -2F8h ,data,3
var_300 = qword ptr -300h  | * | var_2F0 = qword ptr -2F0h ,data,2
var_2F8 = qword ptr -2F8h  | * | var_2E8 = qword ptr -2E8h ,data,2
var_2F0 = qword ptr -2F0h  | * | var_2E0 = qword ptr -2E0h ,data,2
var_2E8 = qword ptr -2E8h  | * | var_2D8 = qword ptr -2D8h ,data,1
var_2E0 = qword ptr -2E0h  | * | var_2D0 = dword ptr -2D0h ,data,1
var_2D8 = qword ptr -2D8h  | * | var_2CC = dword ptr -2CCh ,data,1
var_2D0 = dword ptr -2D0h  | * | var_2C8 = qword ptr -2C8h ,data,1
var_2CC = dword ptr -2CCh  | * | var_2C0 = qword ptr -2C0h ,data,1
var_2C8 = qword ptr -2C8h  | * | var_2B8 = qword ptr -2B8h ,data,3
var_2C0 = qword ptr -2C0h  | * | var_2B0 = qword ptr -2B0h ,data,4
var_2B8 = qword ptr -2B8h  | * | var_2A8 = qword ptr -2A8h ,data,4
var_2B0 = qword ptr -2B0h  | * | var_2A0 = qword ptr -2A0h ,data,4
var_2A8 = qword ptr -2A8h  | * | var_290 = qword ptr -290h ,data,1
var_2A0 = qword ptr -2A0h  | * | var_288 = qword ptr -288h ,data,1
var_290 = qword ptr -290h  | * | var_280 = byte ptr -280h ,data,1
var_288 = qword ptr -288h  | * | var_278 = qword ptr -278h ,data,3
var_280 = byte ptr -280h  | * | var_270 = qword ptr -270h ,data,1
var_278 = qword ptr -278h  | * | var_268 = qword ptr -268h ,data,3
var_270 = qword ptr -270h  | * | var_260 = qword ptr -260h ,data,4
var_268 = qword ptr -268h  | * | var_258 = qword ptr -258h ,data,4
var_260 = qword ptr -260h  | * | var_250 = qword ptr -250h ,data,4
var_258 = qword ptr -258h  | * | var_248 = qword ptr -248h ,data,4
var_250 = qword ptr -250h  | * | var_240 = qword ptr -240h ,data,4
var_248 = qword ptr -248h  | * | var_238 = qword ptr -238h ,data,5
var_240 = qword ptr -240h  | * | var_230 = qword ptr -230h ,data,5
var_238 = qword ptr -238h  | * | var_228 = qword ptr -228h ,data,5
var_230 = qword ptr -230h  | * | var_220 = qword ptr -220h ,data,4
var_228 = qword ptr -228h  | * | var_218 = qword ptr -218h ,data,4
var_220 = qword ptr -220h  | * | var_210 = qword ptr -210h ,data,3
var_218 = qword ptr -218h  | * | var_208 = qword ptr -208h ,data,3
var_210 = qword ptr -210h  | * | var_200 = qword ptr -200h ,data,3
var_208 = qword ptr -208h  | * | var_1F8 = qword ptr -1F8h ,data,3
var_200 = qword ptr -200h  | * | var_1F0 = qword ptr -1F0h ,data,3
var_1F8 = qword ptr -1F8h  | * | var_1E8 = qword ptr -1E8h ,data,4
var_1F0 = qword ptr -1F0h  | * | var_1E0 = qword ptr -1E0h ,data,4
