idiom,label,count
var_24 = dword ptr -24h  | * | var_1C = dword ptr -1Ch ,data,1
var_20 = dword ptr -20h  | * | var_18 = dword ptr -18h ,data,1
var_1C = dword ptr -1Ch  | * | var_14 = dword ptr -14h ,data,1
var_18 = dword ptr -18h  | * | var_10 = dword ptr -10h ,data,1
var_14 = dword ptr -14h  | * | var_C = dword ptr -0Ch ,data,1
var_10 = dword ptr -10h  | * | var_8 = dword ptr -8 ,data,1
var_C = dword ptr -0Ch  | * | var_4 = dword ptr -4 ,data,1
"push rbp  | * | sub rsp, 30h ",xcode,1
"mov rbp, rsp  | * | lea rax, _FF ",xcode,1
"sub rsp, 30h  | * | mov [rbp+var_8], edi ",xcode,1
"lea rax, _FF  | * | mov [rbp+var_C], esi ",xcode,1
"mov [rbp+var_8], edi  | * | movsxd rcx, [rbp+var_C] ",xcode,1
"mov [rbp+var_C], esi  | * | movsxd rdx, [rbp+var_8] ",xcode,1
"movsxd rcx, [rbp+var_C]  | * | imul rdx, 61A80h ",xcode,4
"movsxd rdx, [rbp+var_8]  | * | add rax, rdx ",xcode,4
"imul rdx, 61A80h  | * | cmp dword ptr [rax+rcx*4], 0FFFFFFFFh ",xcode,1
"add rax, rdx  | * | jnz loc_1000015E5 ",xcode,1
"cmp dword ptr [rax+rcx*4], 0FFFFFFFFh  | * | mov eax, [rbp+var_8] ",xcode,1
"jnz loc_1000015E5  | * | cmp eax, cs:_m ",xcode,1
"mov eax, [rbp+var_8]  | * | jnz loc_1000014BF ",xcode,1
"cmp eax, cs:_m  | * | lea rax, _FF ",xcode,1
"jnz loc_1000014BF  | * | movsxd rcx, [rbp+var_C] ",xcode,1
"lea rax, _FF  | * | movsxd rdx, [rbp+var_8] ",xcode,2
"imul rdx, 61A80h  | * | mov dword ptr [rax+rcx*4], 0 ",xcode,4
"add rax, rdx  | * | mov [rbp+var_4], 0 ",xcode,1
"mov dword ptr [rax+rcx*4], 0  | * | jmp loc_100001604 ",xcode,1
"mov [rbp+var_4], 0  | * | loc_1000014BF:  ",xcode,1
"jmp loc_100001604  | * | mov [rbp+var_10], 0 ",xcode,1
loc_1000014BF:   | * | loc_1000014C6:  ,xcode,1
"mov [rbp+var_10], 0  | * | lea rax, _sAA ",xcode,1
"loc_1000014C6:   | * | mov ecx, [rbp+var_10] ",xcode,1
"lea rax, _sAA  | * | movsxd rdx, [rbp+var_8] ",xcode,1
"mov ecx, [rbp+var_10]  | * | cmp ecx, [rax+rdx*4] ",xcode,1
"movsxd rdx, [rbp+var_8]  | * | jge loc_1000015E0 ",xcode,1
"cmp ecx, [rax+rdx*4]  | * | lea rax, _FF ",xcode,1
"jge loc_1000015E0  | * | lea rcx, _S3 ",xcode,1
"lea rax, _FF  | * | lea rdx, _S ",xcode,1
"lea rcx, _S3  | * | lea rsi, _AA ",xcode,1
"lea rdx, _S  | * | movsxd rdi, [rbp+var_10] ",xcode,1
"lea rsi, _AA  | * | movsxd r8, [rbp+var_8] ",xcode,1
"movsxd rdi, [rbp+var_10]  | * | imul r8, 61A80h ",xcode,1
"movsxd r8, [rbp+var_8]  | * | add rsi, r8 ",xcode,1
"imul r8, 61A80h  | * | mov r9d, [rsi+rdi*4] ",xcode,1
"add rsi, r8  | * | mov [rbp+var_18], r9d ",xcode,1
"mov r9d, [rsi+rdi*4]  | * | movsxd rsi, [rbp+var_18] ",xcode,1
"mov [rbp+var_18], r9d  | * | mov r9d, [rdx+rsi*4] ",xcode,1
"movsxd rsi, [rbp+var_18]  | * | shl r9d, 2 ",xcode,1
"mov r9d, [rdx+rsi*4]  | * | mov r10d, [rbp+var_C] ",xcode,1
"shl r9d, 2  | * | and r10d, [rbp+var_18] ",xcode,1
"mov r10d, [rbp+var_C]  | * | movsxd rsi, r10d ",xcode,1
"and r10d, [rbp+var_18]  | * | mov r10d, [rdx+rsi*4] ",xcode,1
"movsxd rsi, r10d  | * | shl r10d, 1 ",xcode,1
"mov r10d, [rdx+rsi*4]  | * | sub r9d, r10d ",xcode,1
"shl r10d, 1  | * | movsxd rdx, [rbp+var_18] ",xcode,1
"sub r9d, r10d  | * | mov r10d, [rcx+rdx*4] ",xcode,1
"movsxd rdx, [rbp+var_18]  | * | shl r10d, 1 ",xcode,1
"mov r10d, [rcx+rdx*4]  | * | sub r9d, r10d ",xcode,1
"shl r10d, 1  | * | mov [rbp+var_14], r9d ",xcode,1
"sub r9d, r10d  | * | movsxd rcx, [rbp+var_C] ",xcode,1
"mov [rbp+var_14], r9d  | * | movsxd rdx, [rbp+var_8] ",xcode,1
"imul rdx, 61A80h  | * | mov r9d, [rax+rcx*4] ",xcode,1
"add rax, rdx  | * | mov r10d, [rbp+var_14] ",xcode,1
"mov r9d, [rax+rcx*4]  | * | mov r11d, [rbp+var_8] ",xcode,1
"mov r10d, [rbp+var_14]  | * | add r11d, 1 ",xcode,1
"mov r11d, [rbp+var_8]  | * | mov esi, [rbp+var_18]  ",xcode,1
"add r11d, 1  | * | mov edi, r11d  ",xcode,1
"mov esi, [rbp+var_18]   | * | mov [rbp+var_1C], r9d ",xcode,1
"mov edi, r11d   | * | mov [rbp+var_20], r10d ",xcode,1
"mov [rbp+var_1C], r9d  | * | call __Z1Fii  ",xcode,1
"mov [rbp+var_20], r10d  | * | mov esi, [rbp+var_20] ",xcode,1
"call __Z1Fii   | * | add esi, eax ",xcode,1
"mov esi, [rbp+var_20]  | * | mov eax, [rbp+var_1C] ",xcode,1
"add esi, eax  | * | cmp eax, esi ",xcode,1
"mov eax, [rbp+var_1C]  | * | jge loc_1000015CB ",xcode,1
"cmp eax, esi  | * | mov eax, [rbp+var_14] ",xcode,1
"jge loc_1000015CB  | * | mov ecx, [rbp+var_8] ",xcode,1
"mov eax, [rbp+var_14]  | * | add ecx, 1 ",xcode,1
"mov ecx, [rbp+var_8]  | * | mov esi, [rbp+var_18]  ",xcode,1
"add ecx, 1  | * | mov edi, ecx  ",xcode,1
"mov esi, [rbp+var_18]   | * | mov [rbp+var_24], eax ",xcode,1
"mov edi, ecx   | * | call __Z1Fii  ",xcode,1
"mov [rbp+var_24], eax  | * | lea rdx, _FF ",xcode,1
"call __Z1Fii   | * | mov ecx, [rbp+var_24] ",xcode,1
"lea rdx, _FF  | * | add ecx, eax ",xcode,1
"mov ecx, [rbp+var_24]  | * | movsxd r8, [rbp+var_C] ",xcode,1
"add ecx, eax  | * | movsxd r9, [rbp+var_8] ",xcode,1
"movsxd r8, [rbp+var_C]  | * | imul r9, 61A80h ",xcode,1
"movsxd r9, [rbp+var_8]  | * | add rdx, r9 ",xcode,1
"imul r9, 61A80h  | * | mov [rdx+r8*4], ecx ",xcode,1
"add rdx, r9  | * | loc_1000015CB:  ",xcode,1
"mov [rdx+r8*4], ecx  | * | jmp $+5 ",xcode,1
loc_1000015CB:   | * | loc_1000015D0:  ,xcode,1
"jmp $+5  | * | mov eax, [rbp+var_10] ",xcode,1
"loc_1000015D0:   | * | add eax, 1 ",xcode,1
"mov eax, [rbp+var_10]  | * | mov [rbp+var_10], eax ",xcode,1
"add eax, 1  | * | jmp loc_1000014C6 ",xcode,1
"mov [rbp+var_10], eax  | * | loc_1000015E0:  ",xcode,1
jmp loc_1000014C6  | * | jmp $+5 ,xcode,1
loc_1000015E0:   | * | loc_1000015E5:  ,xcode,1
"jmp $+5  | * | lea rax, _FF ",xcode,1
"loc_1000015E5:   | * | movsxd rcx, [rbp+var_C] ",xcode,1
"imul rdx, 61A80h  | * | mov esi, [rax+rcx*4] ",xcode,1
"add rax, rdx  | * | mov [rbp+var_4], esi ",xcode,1
"mov esi, [rax+rcx*4]  | * | loc_100001604:  ",xcode,1
"mov [rbp+var_4], esi  | * | mov eax, [rbp+var_4] ",xcode,1
"loc_100001604:   | * | add rsp, 30h ",xcode,1
"mov eax, [rbp+var_4]  | * | pop rbp ",xcode,1
"add rsp, 30h  | * | retn ",xcode,1
pop rbp  | * | __Z1Fii endp ,xcode,1
retn  | * | align 10h ,xcode,1
__Z1Fii endp  | * | public _main ,xcode,1
align 10h  | * | _main proc near ,xcode,1
var_C4 = dword ptr -0C4h  | * | var_BC = dword ptr -0BCh ,data,1
var_C0 = dword ptr -0C0h  | * | var_B8 = dword ptr -0B8h ,data,1
var_BC = dword ptr -0BCh  | * | var_B4 = dword ptr -0B4h ,data,1
var_B8 = dword ptr -0B8h  | * | var_B0 = dword ptr -0B0h ,data,1
var_B4 = dword ptr -0B4h  | * | var_AC = dword ptr -0ACh ,data,1
var_B0 = dword ptr -0B0h  | * | var_A8 = dword ptr -0A8h ,data,1
var_AC = dword ptr -0ACh  | * | var_A4 = dword ptr -0A4h ,data,1
var_A8 = dword ptr -0A8h  | * | var_A0 = dword ptr -0A0h ,data,1
var_A4 = dword ptr -0A4h  | * | var_9C = dword ptr -9Ch ,data,1
var_A0 = dword ptr -0A0h  | * | var_95 = byte ptr -95h ,data,1
var_9C = dword ptr -9Ch  | * | var_94 = dword ptr -94h ,data,1
