idiom,label,count
var_18 = dword ptr -18h  | * | var_10 = qword ptr -10h ,data,1
var_14 = dword ptr -14h  | * | var_8 = dword ptr -8 ,data,1
var_10 = qword ptr -10h  | * | var_4 = dword ptr -4 ,data,4
"push rbp  | * | sub rsp, 20h ",xcode,1
"mov rbp, rsp  | * | mov rdi, cs:__ZNSt3__13cinE_ptr ",xcode,2
"sub rsp, 20h  | * | lea rsi, _n ",xcode,1
"mov rdi, cs:__ZNSt3__13cinE_ptr  | * | call __ZNSt3__113basic_istreamIcNS_11char_traitsIcEEErsERi  ",xcode,1
"lea rsi, _n  | * | mov [rbp+var_4], 0 ",xcode,1
"call __ZNSt3__113basic_istreamIcNS_11char_traitsIcEEErsERi   | * | mov [rbp+var_10], rax ",xcode,1
"mov [rbp+var_4], 0  | * | loc_100000696:  ",xcode,1
"mov [rbp+var_10], rax  | * | mov eax, [rbp+var_4] ",xcode,1
"loc_100000696:   | * | cmp eax, cs:_n ",xcode,1
"mov eax, [rbp+var_4]  | * | jge loc_1000006DB ",xcode,1
"cmp eax, cs:_n  | * | lea rdi, aD  ",xcode,2
"jge loc_1000006DB  | * | lea rax, _l ",xcode,1
"lea rdi, aD   | * | movsxd rcx, [rbp+var_4] ",xcode,1
"lea rax, _l  | * | shl rcx, 2 ",xcode,1
"movsxd rcx, [rbp+var_4]  | * | add rax, rcx ",xcode,1
"shl rcx, 2  | * | mov rsi, rax ",xcode,2
"add rax, rcx  | * | mov al, 0 ",xcode,2
"mov rsi, rax  | * | call _scanf ",xcode,2
"mov al, 0  | * | mov [rbp+var_14], eax ",xcode,1
"call _scanf  | * | mov eax, [rbp+var_4] ",xcode,1
"mov [rbp+var_14], eax  | * | add eax, 1 ",xcode,1
"mov eax, [rbp+var_4]  | * | mov [rbp+var_4], eax ",xcode,1
"add eax, 1  | * | jmp loc_100000696 ",xcode,1
"mov [rbp+var_4], eax  | * | loc_1000006DB:  ",xcode,1
"jmp loc_100000696  | * | mov [rbp+var_8], 0 ",xcode,1
loc_1000006DB:   | * | loc_1000006E2:  ,xcode,1
"mov [rbp+var_8], 0  | * | mov eax, [rbp+var_8] ",xcode,1
"loc_1000006E2:   | * | cmp eax, cs:_n ",xcode,1
"mov eax, [rbp+var_8]  | * | jge loc_100000727 ",xcode,1
"jge loc_100000727  | * | lea rax, _p ",xcode,1
"lea rdi, aD   | * | movsxd rcx, [rbp+var_8] ",xcode,1
"lea rax, _p  | * | shl rcx, 2 ",xcode,1
"movsxd rcx, [rbp+var_8]  | * | add rax, rcx ",xcode,1
"mov al, 0  | * | mov [rbp+var_18], eax ",xcode,1
"call _scanf  | * | mov eax, [rbp+var_8] ",xcode,1
"mov [rbp+var_18], eax  | * | add eax, 1 ",xcode,1
"mov eax, [rbp+var_8]  | * | mov [rbp+var_8], eax ",xcode,1
"add eax, 1  | * | jmp loc_1000006E2 ",xcode,1
"mov [rbp+var_8], eax  | * | loc_100000727:  ",xcode,1
"jmp loc_1000006E2  | * | add rsp, 20h ",xcode,1
loc_100000727:   | * | pop rbp ,xcode,1
"add rsp, 20h  | * | retn ",xcode,1
pop rbp  | * | __Z4readv endp ,xcode,1
retn  | * | align 10h ,xcode,4
__Z4readv endp  | * | public __Z3cmpii ,xcode,1
align 10h  | * | __Z3cmpii proc near  ,xcode,1
var_1A = byte ptr -1Ah  | * | var_18 = qword ptr -18h ,data,1
var_19 = byte ptr -19h  | * | var_10 = qword ptr -10h ,data,1
var_18 = qword ptr -18h  | * | var_8 = dword ptr -8 ,data,1
"push rbp  | * | mov al, 1 ",xcode,1
"mov rbp, rsp  | * | mov ecx, 64h  ",xcode,1
"mov al, 1  | * | lea rdx, _p ",xcode,1
"mov ecx, 64h   | * | lea r8, _l ",xcode,1
"lea rdx, _p  | * | mov [rbp+var_4], edi ",xcode,1
"lea r8, _l  | * | mov [rbp+var_8], esi ",xcode,1
"mov [rbp+var_4], edi  | * | movsxd r9, [rbp+var_4] ",xcode,1
"mov [rbp+var_8], esi  | * | imul esi, [r8+r9*4], 2710h ",xcode,1
"movsxd r9, [rbp+var_4]  | * | movsxd r9, [rbp+var_8] ",xcode,1
"imul esi, [r8+r9*4], 2710h  | * | imul edi, [r8+r9*4], 64h  ",xcode,2
"movsxd r9, [rbp+var_8]  | * | movsxd r9, [rbp+var_4] ",xcode,2
"imul edi, [r8+r9*4], 64h   | * | mov r10d, ecx ",xcode,1
"movsxd r9, [rbp+var_4]  | * | sub r10d, [rdx+r9*4] ",xcode,1
"mov r10d, ecx  | * | imul edi, r10d ",xcode,1
"sub r10d, [rdx+r9*4]  | * | add esi, edi ",xcode,1
"imul edi, r10d  | * | movsxd r9, esi ",xcode,1
"add esi, edi  | * | mov [rbp+var_10], r9 ",xcode,1
"movsxd r9, esi  | * | movsxd r9, [rbp+var_8] ",xcode,1
"mov [rbp+var_10], r9  | * | imul esi, [r8+r9*4], 2710h ",xcode,1
"movsxd r9, [rbp+var_4]  | * | movsxd r8, [rbp+var_8] ",xcode,1
"imul edi, [r8+r9*4], 64h   | * | sub ecx, [rdx+r8*4] ",xcode,1
