idiom,label,count
var_C0 = dword ptr -0C0h  | * | var_B8 = qword ptr -0B8h ,data,1
var_BC = dword ptr -0BCh  | * | var_B0 = qword ptr -0B0h ,data,1
var_B8 = qword ptr -0B8h  | * | var_A8 = dword ptr -0A8h ,data,1
var_B0 = qword ptr -0B0h  | * | var_A4 = dword ptr -0A4h ,data,1
var_A8 = dword ptr -0A8h  | * | var_A0 = qword ptr -0A0h ,data,1
var_A4 = dword ptr -0A4h  | * | var_98 = qword ptr -98h ,data,1
var_A0 = qword ptr -0A0h  | * | var_90 = dword ptr -90h ,data,1
var_98 = qword ptr -98h  | * | var_8C = dword ptr -8Ch ,data,1
var_90 = dword ptr -90h  | * | var_88 = dword ptr -88h ,data,1
var_8C = dword ptr -8Ch  | * | var_84 = dword ptr -84h ,data,1
var_88 = dword ptr -88h  | * | var_80 = qword ptr -80h ,data,1
var_84 = dword ptr -84h  | * | var_78 = qword ptr -78h ,data,1
var_80 = qword ptr -80h  | * | var_70 = qword ptr -70h ,data,1
var_78 = qword ptr -78h  | * | var_68 = qword ptr -68h ,data,1
var_70 = qword ptr -70h  | * | var_60 = qword ptr -60h ,data,1
var_68 = qword ptr -68h  | * | var_58 = qword ptr -58h ,data,1
var_60 = qword ptr -60h  | * | var_50 = qword ptr -50h ,data,1
var_58 = qword ptr -58h  | * | var_48 = qword ptr -48h ,data,2
var_50 = qword ptr -50h  | * | var_40 = qword ptr -40h ,data,2
var_48 = qword ptr -48h  | * | var_38 = qword ptr -38h ,data,2
var_40 = qword ptr -40h  | * | var_30 = qword ptr -30h ,data,2
var_38 = qword ptr -38h  | * | var_28 = qword ptr -28h ,data,2
var_30 = qword ptr -30h  | * | var_20 = qword ptr -20h ,data,2
var_28 = qword ptr -28h  | * | var_18 = qword ptr -18h ,data,2
var_20 = qword ptr -20h  | * | var_10 = qword ptr -10h ,data,2
var_18 = qword ptr -18h  | * | var_8 = qword ptr -8 ,data,2
"push rbp  | * | sub rsp, 0C0h ",xcode,1
"mov rbp, rsp  | * | lea rdi, aD  ",xcode,1
"sub rsp, 0C0h  | * | lea rsi, _tt ",xcode,1
"lea rdi, aD   | * | mov [rbp+var_84], 0 ",xcode,1
"lea rsi, _tt  | * | mov al, 0 ",xcode,1
"mov [rbp+var_84], 0  | * | call _scanf ",xcode,1
"mov al, 0  | * | lea rdi, _s  ",xcode,1
"call _scanf  | * | mov [rbp+var_90], eax ",xcode,1
"lea rdi, _s   | * | call _gets ",xcode,1
"mov [rbp+var_90], eax  | * | mov [rbp+var_88], 0 ",xcode,1
"call _gets  | * | mov [rbp+var_98], rax ",xcode,1
"mov [rbp+var_88], 0  | * | loc_100000C3D:  ",xcode,1
"mov [rbp+var_98], rax  | * | mov eax, [rbp+var_88] ",xcode,1
