idiom,label,count
var_118 = qword ptr -118h  | * | var_104 = dword ptr -104h ,data,1
var_110 = qword ptr -110h  | * | var_100 = qword ptr -100h ,data,13
var_104 = dword ptr -104h  | * | var_F8 = qword ptr -0F8h ,data,1
var_100 = qword ptr -100h  | * | var_F0 = qword ptr -0F0h ,data,13
var_F8 = qword ptr -0F8h  | * | var_E4 = dword ptr -0E4h ,data,1
var_F0 = qword ptr -0F0h  | * | var_E0 = qword ptr -0E0h ,data,15
var_E4 = dword ptr -0E4h  | * | var_D8 = qword ptr -0D8h ,data,1
var_E0 = qword ptr -0E0h  | * | var_D0 = qword ptr -0D0h ,data,18
var_D8 = qword ptr -0D8h  | * | var_C8 = qword ptr -0C8h ,data,18
var_D0 = qword ptr -0D0h  | * | var_C0 = qword ptr -0C0h ,data,18
var_C8 = qword ptr -0C8h  | * | var_B8 = qword ptr -0B8h ,data,18
var_C0 = qword ptr -0C0h  | * | var_B0 = qword ptr -0B0h ,data,19
var_B8 = qword ptr -0B8h  | * | var_A8 = qword ptr -0A8h ,data,20
var_B0 = qword ptr -0B0h  | * | var_A0 = qword ptr -0A0h ,data,18
var_A8 = qword ptr -0A8h  | * | var_98 = qword ptr -98h ,data,18
var_A0 = qword ptr -0A0h  | * | var_90 = qword ptr -90h ,data,20
var_98 = qword ptr -98h  | * | var_88 = qword ptr -88h ,data,20
var_90 = qword ptr -90h  | * | var_80 = qword ptr -80h ,data,21
var_88 = qword ptr -88h  | * | var_78 = qword ptr -78h ,data,23
var_80 = qword ptr -80h  | * | var_70 = qword ptr -70h ,data,19
var_78 = qword ptr -78h  | * | var_68 = qword ptr -68h ,data,21
var_70 = qword ptr -70h  | * | var_60 = qword ptr -60h ,data,22
var_68 = qword ptr -68h  | * | var_58 = qword ptr -58h ,data,20
var_60 = qword ptr -60h  | * | var_50 = qword ptr -50h ,data,20
var_58 = qword ptr -58h  | * | var_48 = qword ptr -48h ,data,17
var_50 = qword ptr -50h  | * | var_40 = qword ptr -40h ,data,18
var_48 = qword ptr -48h  | * | var_38 = qword ptr -38h ,data,22
var_40 = qword ptr -40h  | * | var_30 = qword ptr -30h ,data,21
var_38 = qword ptr -38h  | * | var_28 = qword ptr -28h ,data,23
var_30 = qword ptr -30h  | * | var_20 = qword ptr -20h ,data,22
var_28 = qword ptr -28h  | * | var_18 = qword ptr -18h ,data,24
var_20 = qword ptr -20h  | * | var_10 = qword ptr -10h ,data,26
var_18 = qword ptr -18h  | * | var_8 = qword ptr -8 ,data,23
