idiom,label,count
var_238 = qword ptr -238h  | * | var_228 = qword ptr -228h ,data,4
var_22C = dword ptr -22Ch  | * | var_220 = qword ptr -220h ,data,1
var_228 = qword ptr -228h  | * | var_218 = qword ptr -218h ,data,4
var_220 = qword ptr -220h  | * | var_210 = qword ptr -210h ,data,5
var_218 = qword ptr -218h  | * | var_208 = dword ptr -208h ,data,1
var_210 = qword ptr -210h  | * | var_204 = dword ptr -204h ,data,1
var_208 = dword ptr -208h  | * | var_200 = qword ptr -200h ,data,2
var_204 = dword ptr -204h  | * | var_1F4 = dword ptr -1F4h ,data,1
var_200 = qword ptr -200h  | * | var_1F0 = dword ptr -1F0h ,data,1
var_1F4 = dword ptr -1F4h  | * | var_1EC = dword ptr -1ECh ,data,1
var_1F0 = dword ptr -1F0h  | * | var_1E8 = dword ptr -1E8h ,data,1
var_1EC = dword ptr -1ECh  | * | var_1E4 = dword ptr -1E4h ,data,1
var_1E8 = dword ptr -1E8h  | * | var_1E0 = dword ptr -1E0h ,data,1
var_1E4 = dword ptr -1E4h  | * | var_1DC = dword ptr -1DCh ,data,1
var_1E0 = dword ptr -1E0h  | * | var_1D8 = dword ptr -1D8h ,data,1
var_1DC = dword ptr -1DCh  | * | var_1D4 = dword ptr -1D4h ,data,1
var_1D8 = dword ptr -1D8h  | * | var_1D0 = dword ptr -1D0h ,data,1
var_1D4 = dword ptr -1D4h  | * | var_1CC = dword ptr -1CCh ,data,1
var_1D0 = dword ptr -1D0h  | * | var_1C8 = dword ptr -1C8h ,data,1
var_1CC = dword ptr -1CCh  | * | var_1C4 = dword ptr -1C4h ,data,1
var_1C8 = dword ptr -1C8h  | * | var_1C0 = dword ptr -1C0h ,data,1
var_1C4 = dword ptr -1C4h  | * | var_1BC = dword ptr -1BCh ,data,1
var_1C0 = dword ptr -1C0h  | * | var_1B8 = dword ptr -1B8h ,data,1
var_1BC = dword ptr -1BCh  | * | var_1B4 = dword ptr -1B4h ,data,1
var_1B8 = dword ptr -1B8h  | * | var_1A8 = qword ptr -1A8h ,data,1
var_1B4 = dword ptr -1B4h  | * | var_1A0 = qword ptr -1A0h ,data,1
var_1A8 = qword ptr -1A8h  | * | var_198 = byte ptr -198h ,data,1
var_1A0 = qword ptr -1A0h  | * | var_190 = qword ptr -190h ,data,6
var_198 = byte ptr -198h  | * | var_188 = qword ptr -188h ,data,1
var_190 = qword ptr -190h  | * | var_178 = qword ptr -178h ,data,1
var_188 = qword ptr -188h  | * | var_170 = qword ptr -170h ,data,1
var_178 = qword ptr -178h  | * | var_160 = qword ptr -160h ,data,1
var_170 = qword ptr -170h  | * | var_158 = qword ptr -158h ,data,1
var_160 = qword ptr -160h  | * | var_150 = qword ptr -150h ,data,6
var_158 = qword ptr -158h  | * | var_148 = qword ptr -148h ,data,8
var_150 = qword ptr -150h  | * | var_140 = qword ptr -140h ,data,8
var_148 = qword ptr -148h  | * | var_138 = qword ptr -138h ,data,5
var_140 = qword ptr -140h  | * | var_130 = qword ptr -130h ,data,8
var_138 = qword ptr -138h  | * | var_128 = qword ptr -128h ,data,5
var_130 = qword ptr -130h  | * | var_11C = dword ptr -11Ch ,data,3
var_128 = qword ptr -128h  | * | var_118 = qword ptr -118h ,data,8
