idiom,label,count
var_134 = dword ptr -134h  | * | var_128 = dword ptr -128h ,data,1
var_130 = qword ptr -130h  | * | var_124 = dword ptr -124h ,data,1
var_128 = dword ptr -128h  | * | var_120 = qword ptr -120h ,data,1
var_124 = dword ptr -124h  | * | var_118 = qword ptr -118h ,data,1
var_120 = qword ptr -120h  | * | var_110 = dword ptr -110h ,data,1
var_118 = qword ptr -118h  | * | var_10C = dword ptr -10Ch ,data,1
var_110 = dword ptr -110h  | * | var_108 = dword ptr -108h ,data,1
var_10C = dword ptr -10Ch  | * | var_104 = dword ptr -104h ,data,1
var_108 = dword ptr -108h  | * | var_100 = qword ptr -100h ,data,1
var_104 = dword ptr -104h  | * | var_F8 = qword ptr -0F8h ,data,1
var_100 = qword ptr -100h  | * | var_F0 = qword ptr -0F0h ,data,7
var_F8 = qword ptr -0F8h  | * | var_E8 = qword ptr -0E8h ,data,8
var_F0 = qword ptr -0F0h  | * | var_E0 = qword ptr -0E0h ,data,8
var_E8 = qword ptr -0E8h  | * | var_D8 = qword ptr -0D8h ,data,8
var_E0 = qword ptr -0E0h  | * | var_D0 = qword ptr -0D0h ,data,9
var_D8 = qword ptr -0D8h  | * | var_C8 = qword ptr -0C8h ,data,9
var_D0 = qword ptr -0D0h  | * | var_C0 = qword ptr -0C0h ,data,9
var_C8 = qword ptr -0C8h  | * | var_B8 = qword ptr -0B8h ,data,10
var_C0 = qword ptr -0C0h  | * | var_B0 = qword ptr -0B0h ,data,9
var_B8 = qword ptr -0B8h  | * | var_A8 = qword ptr -0A8h ,data,10
var_B0 = qword ptr -0B0h  | * | var_A0 = qword ptr -0A0h ,data,9
var_A8 = qword ptr -0A8h  | * | var_98 = qword ptr -98h ,data,9
var_A0 = qword ptr -0A0h  | * | var_90 = qword ptr -90h ,data,10
var_98 = qword ptr -98h  | * | var_88 = qword ptr -88h ,data,9
var_90 = qword ptr -90h  | * | var_78 = qword ptr -78h ,data,2
var_88 = qword ptr -88h  | * | var_70 = qword ptr -70h ,data,2
var_78 = qword ptr -78h  | * | var_68 = byte ptr -68h ,data,1
var_70 = qword ptr -70h  | * | var_60 = qword ptr -60h ,data,8
var_68 = byte ptr -68h  | * | var_58 = qword ptr -58h ,data,1
var_60 = qword ptr -60h  | * | var_50 = qword ptr -50h ,data,10
var_58 = qword ptr -58h  | * | var_48 = qword ptr -48h ,data,9
var_50 = qword ptr -50h  | * | var_40 = qword ptr -40h ,data,8
var_48 = qword ptr -48h  | * | var_38 = qword ptr -38h ,data,9
var_40 = qword ptr -40h  | * | var_30 = qword ptr -30h ,data,6
var_38 = qword ptr -38h  | * | var_28 = qword ptr -28h ,data,8
var_30 = qword ptr -30h  | * | var_20 = qword ptr -20h ,data,8
var_28 = qword ptr -28h  | * | var_18 = qword ptr -18h ,data,9
var_20 = qword ptr -20h  | * | var_10 = qword ptr -10h ,data,11
var_18 = qword ptr -18h  | * | var_8 = qword ptr -8 ,data,11
"push rbp  | * | sub rsp, 140h ",xcode,2
"mov rbp, rsp  | * | lea rax, _v ",xcode,2
"sub rsp, 140h  | * | mov [rbp+var_108], edi ",xcode,1
"lea rax, _v  | * | mov [rbp+var_10C], esi ",xcode,1
"mov [rbp+var_108], edi  | * | mov [rbp+var_110], edx ",xcode,1
"mov [rbp+var_10C], esi  | * | movsxd rcx, [rbp+var_108] ",xcode,1
"mov [rbp+var_110], edx  | * | imul rcx, 18h ",xcode,1
"movsxd rcx, [rbp+var_108]  | * | add rax, rcx ",xcode,1
"imul rcx, 18h  | * | mov [rbp+var_100], rax ",xcode,1
"add rax, rcx  | * | mov rax, [rbp+var_100] ",xcode,1
"mov [rbp+var_100], rax  | * | mov rcx, [rax+8] ",xcode,1
"mov rax, [rbp+var_100]  | * | mov rax, [rax] ",xcode,1
"mov rcx, [rax+8]  | * | sub rcx, rax ",xcode,1
"mov rax, [rax]  | * | sar rcx, 2 ",xcode,1
"sub rcx, rax  | * | mov edx, ecx ",xcode,1
"sar rcx, 2  | * | cmp edx, 0 ",xcode,1
"mov edx, ecx  | * | jnz loc_10000123E ",xcode,1
"cmp edx, 0  | * | mov [rbp+var_104], 0 ",xcode,1
jnz loc_10000123E  | * | jmp loc_100001521 ,xcode,1
"mov [rbp+var_104], 0  | * | loc_10000123E:  ",xcode,1
"jmp loc_100001521  | * | lea rdx, [rbp+var_68] ",xcode,1
"loc_10000123E:   | * | lea rax, [rbp+var_98] ",xcode,1
"lea rdx, [rbp+var_68]  | * | lea rcx, [rbp+var_90] ",xcode,1
"lea rax, [rbp+var_98]  | * | lea rsi, [rbp+var_28] ",xcode,1
"lea rcx, [rbp+var_90]  | * | lea rdi, _v ",xcode,1
"lea rsi, [rbp+var_28]  | * | lea r8, [rbp+var_D8] ",xcode,1
"lea rdi, _v  | * | movsxd r9, [rbp+var_108] ",xcode,1
"lea r8, [rbp+var_D8]  | * | imul r9, 18h ",xcode,1
"movsxd r9, [rbp+var_108]  | * | mov r10, rdi ",xcode,1
"imul r9, 18h  | * | add r10, r9 ",xcode,1
"mov r10, rdi  | * | mov [rbp+var_F8], r10 ",xcode,1
"add r10, r9  | * | mov r9, [rbp+var_F8] ",xcode,1
"mov [rbp+var_F8], r10  | * | mov r10, [r9] ",xcode,1
"mov r9, [rbp+var_F8]  | * | mov [rbp+var_E0], r9 ",xcode,1
"mov r10, [r9]  | * | mov [rbp+var_E8], r10 ",xcode,1
"mov [rbp+var_E0], r9  | * | mov r9, [rbp+var_E8] ",xcode,1
"mov [rbp+var_E8], r10  | * | mov [rbp+var_C8], r8 ",xcode,1
"mov r9, [rbp+var_E8]  | * | mov [rbp+var_D0], r9 ",xcode,1
"mov [rbp+var_C8], r8  | * | mov r8, [rbp+var_C8] ",xcode,1
"mov [rbp+var_D0], r9  | * | mov r9, [rbp+var_D0] ",xcode,1
"mov r8, [rbp+var_C8]  | * | mov [rbp+var_B8], r8 ",xcode,1
"mov r9, [rbp+var_D0]  | * | mov [rbp+var_C0], r9 ",xcode,1
"mov [rbp+var_B8], r8  | * | mov r8, [rbp+var_B8] ",xcode,1
"mov [rbp+var_C0], r9  | * | mov r9, [rbp+var_C0] ",xcode,1
"mov r8, [rbp+var_B8]  | * | mov [r8], r9 ",xcode,1
"mov r9, [rbp+var_C0]  | * | mov r8, [rbp+var_D8] ",xcode,1
"mov [r8], r9  | * | mov [rbp+var_F0], r8 ",xcode,1
"mov r8, [rbp+var_D8]  | * | mov r8, [rbp+var_F0] ",xcode,1
"mov [rbp+var_F0], r8  | * | mov [rbp+var_118], r8 ",xcode,1
"mov r8, [rbp+var_F0]  | * | movsxd r8, [rbp+var_108] ",xcode,1
"mov [rbp+var_118], r8  | * | imul r8, 18h ",xcode,1
"movsxd r8, [rbp+var_108]  | * | add rdi, r8 ",xcode,1
"imul r8, 18h  | * | mov [rbp+var_48], rdi ",xcode,1
"add rdi, r8  | * | mov rdi, [rbp+var_48] ",xcode,1
"mov [rbp+var_48], rdi  | * | mov r8, [rdi+8] ",xcode,1
"mov rdi, [rbp+var_48]  | * | mov [rbp+var_30], rdi ",xcode,1
"mov r8, [rdi+8]  | * | mov [rbp+var_38], r8 ",xcode,1
"mov [rbp+var_30], rdi  | * | mov rdi, [rbp+var_38] ",xcode,1
"mov [rbp+var_38], r8  | * | mov [rbp+var_18], rsi ",xcode,1
"mov rdi, [rbp+var_38]  | * | mov [rbp+var_20], rdi ",xcode,1
"mov [rbp+var_18], rsi  | * | mov rsi, [rbp+var_18] ",xcode,1
"mov [rbp+var_20], rdi  | * | mov rdi, [rbp+var_20] ",xcode,1
"mov rsi, [rbp+var_18]  | * | mov [rbp+var_8], rsi ",xcode,1
"mov rdi, [rbp+var_20]  | * | mov [rbp+var_10], rdi ",xcode,1
"mov [rbp+var_8], rsi  | * | mov rsi, [rbp+var_8] ",xcode,1
"mov [rbp+var_10], rdi  | * | mov rdi, [rbp+var_10] ",xcode,1
"mov rsi, [rbp+var_8]  | * | mov [rsi], rdi ",xcode,1
"mov rdi, [rbp+var_10]  | * | mov rsi, [rbp+var_28] ",xcode,1
"mov [rsi], rdi  | * | mov [rbp+var_40], rsi ",xcode,1
