type,start_point,end_point,hex_code,d_code
gap,00000001000011D0,00000001000011D1,['55'],"['None', 'None', 'None', 'None', 'None', 'public __Z2goiii ', '__Z2goiii proc near  ', 'None', 'None', 'var_134 = dword ptr -134h ', 'var_130 = qword ptr -130h ', 'var_128 = dword ptr -128h ', 'var_124 = dword ptr -124h ', 'var_120 = qword ptr -120h ', 'var_118 = qword ptr -118h ', 'var_110 = dword ptr -110h ', 'var_10C = dword ptr -10Ch ', 'var_108 = dword ptr -108h ', 'var_104 = dword ptr -104h ', 'var_100 = qword ptr -100h ', 'var_F8 = qword ptr -0F8h ', 'var_F0 = qword ptr -0F0h ', 'var_E8 = qword ptr -0E8h ', 'var_E0 = qword ptr -0E0h ', 'var_D8 = qword ptr -0D8h ', 'var_D0 = qword ptr -0D0h ', 'var_C8 = qword ptr -0C8h ', 'var_C0 = qword ptr -0C0h ', 'var_B8 = qword ptr -0B8h ', 'var_B0 = qword ptr -0B0h ', 'var_A8 = qword ptr -0A8h ', 'var_A0 = qword ptr -0A0h ', 'var_98 = qword ptr -98h ', 'var_90 = qword ptr -90h ', 'var_88 = qword ptr -88h ', 'var_78 = qword ptr -78h ', 'var_70 = qword ptr -70h ', 'var_68 = byte ptr -68h ', 'var_60 = qword ptr -60h ', 'var_58 = qword ptr -58h ', 'var_50 = qword ptr -50h ', 'var_48 = qword ptr -48h ', 'var_40 = qword ptr -40h ', 'var_38 = qword ptr -38h ', 'var_30 = qword ptr -30h ', 'var_28 = qword ptr -28h ', 'var_20 = qword ptr -20h ', 'var_18 = qword ptr -18h ', 'var_10 = qword ptr -10h ', 'var_8 = qword ptr -8 ', 'None', 'push rbp ']"
entry,00000001000011D1,00000001000011D4,"['48', '89', 'E5']","['mov rbp, rsp ']"
entry,00000001000011D4,00000001000011DB,"['48', '81', 'EC', '40', '01', '00', '00']","['sub rsp, 140h ']"
entry,00000001000011DB,00000001000011E2,"['48', '8D', '05', '9E', '2F', '00', '00']","['lea rax, _v ']"
entry,00000001000011E2,00000001000011E8,"['89', 'BD', 'F8', 'FE', 'FF', 'FF']","['mov [rbp+var_108], edi ']"
entry,00000001000011E8,00000001000011EE,"['89', 'B5', 'F4', 'FE', 'FF', 'FF']","['mov [rbp+var_10C], esi ']"
entry,00000001000011EE,00000001000011F4,"['89', '95', 'F0', 'FE', 'FF', 'FF']","['mov [rbp+var_110], edx ']"
entry,00000001000011F4,00000001000011FB,"['48', '63', '8D', 'F8', 'FE', 'FF', 'FF']","['movsxd rcx, [rbp+var_108] ']"
entry,00000001000011FB,0000000100001202,"['48', '69', 'C9', '18', '00', '00', '00']","['imul rcx, 18h ']"
entry,0000000100001202,0000000100001205,"['48', '01', 'C8']","['add rax, rcx ']"
entry,0000000100001205,000000010000120C,"['48', '89', '85', '00', 'FF', 'FF', 'FF']","['mov [rbp+var_100], rax ']"
entry,000000010000120C,0000000100001213,"['48', '8B', '85', '00', 'FF', 'FF', 'FF']","['mov rax, [rbp+var_100] ']"
entry,0000000100001213,0000000100001217,"['48', '8B', '48', '08']","['mov rcx, [rax+8] ']"
entry,0000000100001217,000000010000121A,"['48', '8B', '00']","['mov rax, [rax] ']"
entry,000000010000121A,000000010000121D,"['48', '29', 'C1']","['sub rcx, rax ']"
entry,000000010000121D,0000000100001221,"['48', 'C1', 'F9', '02']","['sar rcx, 2 ']"
entry,0000000100001221,0000000100001223,"['89', 'CA']","['mov edx, ecx ']"
entry,0000000100001223,0000000100001229,"['81', 'FA', '00', '00', '00', '00']","['cmp edx, 0 ']"
entry,0000000100001229,000000010000122F,"['0F', '85', '0F', '00', '00', '00']",['jnz loc_10000123E ']
entry,000000010000122F,0000000100001239,"['C7', '85', 'FC', 'FE', 'FF', 'FF', '00', '00', '00', '00']","['mov [rbp+var_104], 0 ']"
entry,0000000100001239,000000010000123E,"['E9', 'E3', '02', '00', '00']",['jmp loc_100001521 ']
gap,000000010000123E,0000000100001242,"['48', '8D', '55', '98']","['None', 'None', 'loc_10000123E:  ', 'lea rdx, [rbp+var_68] ']"
entry,0000000100001242,0000000100001249,"['48', '8D', '85', '68', 'FF', 'FF', 'FF']","['lea rax, [rbp+var_98] ']"
entry,0000000100001249,0000000100001250,"['48', '8D', '8D', '70', 'FF', 'FF', 'FF']","['lea rcx, [rbp+var_90] ']"
entry,0000000100001250,0000000100001254,"['48', '8D', '75', 'D8']","['lea rsi, [rbp+var_28] ']"
entry,0000000100001254,000000010000125B,"['48', '8D', '3D', '25', '2F', '00', '00']","['lea rdi, _v ']"
entry,000000010000125B,0000000100001262,"['4C', '8D', '85', '28', 'FF', 'FF', 'FF']","['lea r8, [rbp+var_D8] ']"
entry,0000000100001262,0000000100001269,"['4C', '63', '8D', 'F8', 'FE', 'FF', 'FF']","['movsxd r9, [rbp+var_108] ']"
entry,0000000100001269,0000000100001270,"['4D', '69', 'C9', '18', '00', '00', '00']","['imul r9, 18h ']"
entry,0000000100001270,0000000100001273,"['49', '89', 'FA']","['mov r10, rdi ']"
entry,0000000100001273,0000000100001276,"['4D', '01', 'CA']","['add r10, r9 ']"
entry,0000000100001276,000000010000127D,"['4C', '89', '95', '08', 'FF', 'FF', 'FF']","['mov [rbp+var_F8], r10 ']"
entry,000000010000127D,0000000100001284,"['4C', '8B', '8D', '08', 'FF', 'FF', 'FF']","['mov r9, [rbp+var_F8] ']"
entry,0000000100001284,0000000100001287,"['4D', '8B', '11']","['mov r10, [r9] ']"
entry,0000000100001287,000000010000128E,"['4C', '89', '8D', '20', 'FF', 'FF', 'FF']","['mov [rbp+var_E0], r9 ']"
entry,000000010000128E,0000000100001295,"['4C', '89', '95', '18', 'FF', 'FF', 'FF']","['mov [rbp+var_E8], r10 ']"
entry,0000000100001295,000000010000129C,"['4C', '8B', '8D', '18', 'FF', 'FF', 'FF']","['mov r9, [rbp+var_E8] ']"
entry,000000010000129C,00000001000012A3,"['4C', '89', '85', '38', 'FF', 'FF', 'FF']","['mov [rbp+var_C8], r8 ']"
entry,00000001000012A3,00000001000012AA,"['4C', '89', '8D', '30', 'FF', 'FF', 'FF']","['mov [rbp+var_D0], r9 ']"
entry,00000001000012AA,00000001000012B1,"['4C', '8B', '85', '38', 'FF', 'FF', 'FF']","['mov r8, [rbp+var_C8] ']"
entry,00000001000012B1,00000001000012B8,"['4C', '8B', '8D', '30', 'FF', 'FF', 'FF']","['mov r9, [rbp+var_D0] ']"
entry,00000001000012B8,00000001000012BF,"['4C', '89', '85', '48', 'FF', 'FF', 'FF']","['mov [rbp+var_B8], r8 ']"
entry,00000001000012BF,00000001000012C6,"['4C', '89', '8D', '40', 'FF', 'FF', 'FF']","['mov [rbp+var_C0], r9 ']"
entry,00000001000012C6,00000001000012CD,"['4C', '8B', '85', '48', 'FF', 'FF', 'FF']","['mov r8, [rbp+var_B8] ']"
entry,00000001000012CD,00000001000012D4,"['4C', '8B', '8D', '40', 'FF', 'FF', 'FF']","['mov r9, [rbp+var_C0] ']"
entry,00000001000012D4,00000001000012D7,"['4D', '89', '08']","['mov [r8], r9 ']"
entry,00000001000012D7,00000001000012DE,"['4C', '8B', '85', '28', 'FF', 'FF', 'FF']","['mov r8, [rbp+var_D8] ']"
entry,00000001000012DE,00000001000012E5,"['4C', '89', '85', '10', 'FF', 'FF', 'FF']","['mov [rbp+var_F0], r8 ']"
entry,00000001000012E5,00000001000012EC,"['4C', '8B', '85', '10', 'FF', 'FF', 'FF']","['mov r8, [rbp+var_F0] ']"
entry,00000001000012EC,00000001000012F3,"['4C', '89', '85', 'E8', 'FE', 'FF', 'FF']","['mov [rbp+var_118], r8 ']"
entry,00000001000012F3,00000001000012FA,"['4C', '63', '85', 'F8', 'FE', 'FF', 'FF']","['movsxd r8, [rbp+var_108] ']"
entry,00000001000012FA,0000000100001301,"['4D', '69', 'C0', '18', '00', '00', '00']","['imul r8, 18h ']"
entry,0000000100001301,0000000100001304,"['4C', '01', 'C7']","['add rdi, r8 ']"
entry,0000000100001304,0000000100001308,"['48', '89', '7D', 'B8']","['mov [rbp+var_48], rdi ']"
entry,0000000100001308,000000010000130C,"['48', '8B', '7D', 'B8']","['mov rdi, [rbp+var_48] ']"
entry,000000010000130C,0000000100001310,"['4C', '8B', '47', '08']","['mov r8, [rdi+8] ']"
entry,0000000100001310,0000000100001314,"['48', '89', '7D', 'D0']","['mov [rbp+var_30], rdi ']"
entry,0000000100001314,0000000100001318,"['4C', '89', '45', 'C8']","['mov [rbp+var_38], r8 ']"
entry,0000000100001318,000000010000131C,"['48', '8B', '7D', 'C8']","['mov rdi, [rbp+var_38] ']"
entry,000000010000131C,0000000100001320,"['48', '89', '75', 'E8']","['mov [rbp+var_18], rsi ']"
entry,0000000100001320,0000000100001324,"['48', '89', '7D', 'E0']","['mov [rbp+var_20], rdi ']"
entry,0000000100001324,0000000100001328,"['48', '8B', '75', 'E8']","['mov rsi, [rbp+var_18] ']"
entry,0000000100001328,000000010000132C,"['48', '8B', '7D', 'E0']","['mov rdi, [rbp+var_20] ']"
entry,000000010000132C,0000000100001330,"['48', '89', '75', 'F8']","['mov [rbp+var_8], rsi ']"
entry,0000000100001330,0000000100001334,"['48', '89', '7D', 'F0']","['mov [rbp+var_10], rdi ']"
entry,0000000100001334,0000000100001338,"['48', '8B', '75', 'F8']","['mov rsi, [rbp+var_8] ']"
