type,start_point,end_point,hex_code,d_code
gap,0000000000400C40,0000000000400C42,"['31', 'ED']","['None', 'None', 'None', 'None', 'public _start ', '_start proc near  ', 'xor ebp, ebp ']"
entry,0000000000400C42,0000000000400C45,"['49', '89', 'D1']","['mov r9, rdx  ']"
entry,0000000000400C45,0000000000400C46,['5E'],['pop rsi  ']
entry,0000000000400C46,0000000000400C49,"['48', '89', 'E2']","['mov rdx, rsp  ']"
entry,0000000000400C49,0000000000400C4D,"['48', '83', 'E4', 'F0']","['and rsp, 0FFFFFFFFFFFFFFF0h ']"
entry,0000000000400C4D,0000000000400C4E,['50'],['push rax ']
entry,0000000000400C4E,0000000000400C4F,['54'],['push rsp  ']
entry,0000000000400C4F,0000000000400C56,"['49', 'C7', 'C0', 'D0', 'A4', '40', '00']","['mov r8, offset __libc_csu_fini  ']"
entry,0000000000400C56,0000000000400C5D,"['48', 'C7', 'C1', '40', 'A4', '40', '00']","['mov rcx, offset __libc_csu_init  ']"
entry,0000000000400C5D,0000000000400C64,"['48', 'C7', 'C7', '30', '0D', '40', '00']","['mov rdi, offset main  ']"
entry,0000000000400C64,0000000000400C69,"['E8', 'B7', 'FE', 'FF', 'FF']",['call ___libc_start_main ']
entry,0000000000400C69,0000000000400C6A,['F4'],"['hlt ', '_start endp ', 'None', 'None']"
entry,0000000000400C6A,0000000000400C6C,"['90', '90']",['align 4 ']
gap,0000000000400C6C,0000000000400C70,"['48', '83', 'EC', '08']","['None', 'None', 'None', 'None', 'call_gmon_start proc near  ', 'sub rsp, 8 ']"
entry,0000000000400C70,0000000000400C77,"['48', '8B', '05', '39', 'BC', '20', '00']","['mov rax, cs:__gmon_start___ptr ']"
entry,0000000000400C77,0000000000400C7A,"['48', '85', 'C0']","['test rax, rax ']"
entry,0000000000400C7A,0000000000400C7C,"['74', '02']",['jz short loc_400C7E ']
entry,0000000000400C7C,0000000000400C7E,"['FF', 'D0']",['call rax  ']
gap,0000000000400C7E,0000000000400C82,"['48', '83', 'C4', '08']","['None', 'loc_400C7E:  ', 'add rsp, 8 ']"
entry,0000000000400C82,0000000000400C83,['C3'],"['retn ', 'call_gmon_start endp ', 'None', 'None']"
entry,0000000000400C83,0000000000400C90,"['90', '90', '90', '90', '90', '90', '90', '90', '90', '90', '90', '90', '90']",['align 10h ']
gap,0000000000400C90,0000000000400C91,['55'],"['None', 'None', 'None', 'None', 'None', '__do_global_dtors_aux proc near  ', 'push rbp ']"
entry,0000000000400C91,0000000000400C94,"['48', '89', 'E5']","['mov rbp, rsp ']"
entry,0000000000400C94,0000000000400C95,['53'],['push rbx ']
entry,0000000000400C95,0000000000400C99,"['48', '83', 'EC', '08']","['sub rsp, 8 ']"
entry,0000000000400C99,0000000000400CA0,"['80', '3D', 'D0', 'C8', '20', '00', '00']","['cmp cs:completed_6531, 0 ']"
entry,0000000000400CA0,0000000000400CA2,"['75', '4B']",['jnz short loc_400CED ']
entry,0000000000400CA2,0000000000400CA7,"['BB', 'D8', 'C2', '60', '00']","['mov ebx, offset __DTOR_END__ ']"
entry,0000000000400CA7,0000000000400CAE,"['48', '8B', '05', 'CA', 'C8', '20', '00']","['mov rax, cs:dtor_idx_6533 ']"
entry,0000000000400CAE,0000000000400CB5,"['48', '81', 'EB', 'D0', 'C2', '60', '00']","['sub rbx, offset __DTOR_LIST__ ']"
entry,0000000000400CB5,0000000000400CB9,"['48', 'C1', 'FB', '03']","['sar rbx, 3 ']"
entry,0000000000400CB9,0000000000400CBD,"['48', '83', 'EB', '01']","['sub rbx, 1 ']"
entry,0000000000400CBD,0000000000400CC0,"['48', '39', 'D8']","['cmp rax, rbx ']"
entry,0000000000400CC0,0000000000400CC2,"['73', '24']",['jnb short loc_400CE6 ']
entry,0000000000400CC2,0000000000400CC8,"['66', '0F', '1F', '44', '00', '00']",['nop word ptr [rax+rax+00h] ']
gap,0000000000400CC8,0000000000400CCC,"['48', '83', 'C0', '01']","['None', 'loc_400CC8:  ', 'add rax, 1 ']"
entry,0000000000400CCC,0000000000400CD3,"['48', '89', '05', 'A5', 'C8', '20', '00']","['mov cs:dtor_idx_6533, rax ']"
entry,0000000000400CD3,0000000000400CDA,"['FF', '14', 'C5', 'D0', 'C2', '60', '00']",['call ds:__DTOR_LIST__[rax*8] ']
