type,start_point,end_point,hex_code,d_code
gap,00401000,00401001,['55'],"['None', 'None', 'None', 'None', 'None', '_main proc near  ', 'None', 'var_18 = dword ptr -18h ', 'var_14 = dword ptr -14h ', 'var_10 = dword ptr -10h ', 'var_C = dword ptr -0Ch ', 'var_8 = dword ptr -8 ', 'var_4 = dword ptr -4 ', 'argc = dword ptr 8 ', 'argv = dword ptr 0Ch ', 'envp = dword ptr 10h ', 'None', 'push ebp ']"
entry,00401001,00401003,"['8B', 'EC']","['mov ebp, esp ']"
entry,00401003,00401006,"['83', 'EC', '18']","['sub esp, 18h ']"
entry,00401006,00401007,['57'],['push edi ']
entry,00401007,0040100D,"['8B', '3D', 'A4', '20', '40', '00']","['mov edi, ds:scanf ']"
entry,0040100D,00401010,"['8D', '45', 'F8']","['lea eax, [ebp+var_8] ']"
entry,00401010,00401011,['50'],['push eax ']
entry,00401011,00401016,"['68', 'F4', '20', '40', '00']",['push offset Format  ']
entry,00401016,00401018,"['FF', 'D7']",['call edi  ']
entry,00401018,0040101D,"['B8', '01', '00', '00', '00']","['mov eax, 1 ']"
entry,0040101D,00401020,"['83', 'C4', '08']","['add esp, 8 ']"
entry,00401020,00401023,"['89', '45', 'FC']","['mov [ebp+var_4], eax ']"
entry,00401023,00401026,"['39', '45', 'F8']","['cmp [ebp+var_8], eax ']"
entry,00401026,0040102C,"['0F', '8C', 'C1', '00', '00', '00']",['jl loc_4010ED ']
entry,0040102C,0040102D,['53'],['push ebx ']
entry,0040102D,0040102E,['56'],['push esi ']
entry,0040102E,00401030,"['8B', 'FF']","['mov edi, edi ']"
gap,00401030,00401035,"['68', '74', '33', '40', '00']","['None', 'loc_401030:  ', 'push offset dword_403374 ']"
entry,00401035,0040103A,"['68', '6C', '33', '40', '00']",['push offset dword_40336C ']
entry,0040103A,0040103F,"['68', '70', '33', '40', '00']",['push offset dword_403370 ']
entry,0040103F,00401044,"['68', 'F8', '20', '40', '00']",['push offset aDDD  ']
entry,00401044,00401046,"['FF', 'D7']",['call edi ']
entry,00401046,00401048,"['33', 'DB']","['xor ebx, ebx ']"
entry,00401048,0040104B,"['83', 'C4', '10']","['add esp, 10h ']"
entry,0040104B,0040104D,"['33', 'F6']","['xor esi, esi ']"
entry,0040104D,00401053,"['39', '1D', '70', '33', '40', '00']","['cmp dword_403370, ebx ']"
entry,00401053,00401055,"['7E', '76']",['jle short loc_4010CB ']
entry,00401055,00401058,"['89', '5D', 'F0']","['mov [ebp+var_10], ebx ']"
entry,00401058,0040105A,"['EB', '06']","['jmp short loc_401060 ', 'None']"
entry,0040105A,00401060,"['8D', '9B', '00', '00', '00', '00']",['align 10h ']
gap,00401060,00401063,"['8D', '4D', 'EC']","['None', 'loc_401060:  ', 'None', 'lea ecx, [ebp+var_14] ']"
entry,00401063,00401064,['51'],['push ecx ']
entry,00401064,00401069,"['68', 'F4', '20', '40', '00']",['push offset Format  ']
entry,00401069,0040106B,"['FF', 'D7']",['call edi ']
entry,0040106B,00401070,"['A1', '74', '33', '40', '00']","['mov eax, dword_403374 ']"
entry,00401070,00401073,"['8D', '48', 'FF']","['lea ecx, [eax-1] ']"
entry,00401073,00401076,"['83', 'C4', '08']","['add esp, 8 ']"
entry,00401076,00401079,"['89', '4D', 'F4']","['mov [ebp+var_C], ecx ']"
entry,00401079,0040107B,"['85', 'C9']","['test ecx, ecx ']"
entry,0040107B,0040107E,"['8D', '4D', 'F4']","['lea ecx, [ebp+var_C] ']"
entry,0040107E,00401080,"['7F', '03']",['jg short loc_401083 ']
entry,00401080,00401083,"['8D', '4D', 'F0']","['lea ecx, [ebp+var_10] ']"
gap,00401083,00401085,"['8B', '11']","['None', 'loc_401083:  ', 'mov edx, [ecx] ']"
entry,00401085,00401088,"['8D', '0C', '50']","['lea ecx, [eax+edx*2] ']"
entry,00401088,0040108B,"['8B', '55', 'EC']","['mov edx, [ebp+var_14] ']"
entry,0040108B,0040108D,"['3B', 'D1']","['cmp edx, ecx ']"
entry,0040108D,0040108F,"['7C', '03']",['jl short loc_401092 ']
entry,0040108F,00401090,['46'],['inc esi ']
entry,00401090,00401092,"['EB', '30']",['jmp short loc_4010C2 ']
gap,00401092,00401095,"['8D', '48', 'FE']","['None', 'None', 'loc_401092:  ', 'lea ecx, [eax-2] ']"
entry,00401095,00401098,"['89', '4D', 'F4']","['mov [ebp+var_C], ecx ']"
entry,00401098,0040109A,"['85', 'C9']","['test ecx, ecx ']"
entry,0040109A,004010A1,"['C7', '45', 'E8', '00', '00', '00', '00']","['mov [ebp+var_18], 0 ']"
entry,004010A1,004010A4,"['8D', '4D', 'F4']","['lea ecx, [ebp+var_C] ']"
entry,004010A4,004010A6,"['7F', '03']",['jg short loc_4010A9 ']
entry,004010A6,004010A9,"['8D', '4D', 'E8']","['lea ecx, [ebp+var_18] ']"
gap,004010A9,004010AB,"['8B', '09']","['None', 'loc_4010A9:  ', 'mov ecx, [ecx] ']"
entry,004010AB,004010AE,"['8D', '04', '48']","['lea eax, [eax+ecx*2] ']"
entry,004010AE,004010B0,"['3B', 'D0']","['cmp edx, eax ']"
entry,004010B0,004010B2,"['7C', '10']",['jl short loc_4010C2 ']
entry,004010B2,004010B9,"['83', '3D', '6C', '33', '40', '00', '00']","['cmp dword_40336C, 0 ']"
entry,004010B9,004010BB,"['74', '07']",['jz short loc_4010C2 ']
entry,004010BB,004010BC,['46'],['inc esi ']
entry,004010BC,004010C2,"['FF', '0D', '6C', '33', '40', '00']",['dec dword_40336C ']
gap,004010C2,004010C3,['43'],"['None', 'loc_4010C2:  ', 'None', 'inc ebx ']"
entry,004010C3,004010C9,"['3B', '1D', '70', '33', '40', '00']","['cmp ebx, dword_403370 ']"
entry,004010C9,004010CB,"['7C', '95']",['jl short loc_401060 ']
gap,004010CB,004010CC,['56'],"['None', 'loc_4010CB:  ', 'push esi ']"
entry,004010CC,004010CF,"['8B', '75', 'FC']","['mov esi, [ebp+var_4] ']"
entry,004010CF,004010D0,['56'],['push esi ']
entry,004010D0,004010D5,"['68', '00', '21', '40', '00']",['push offset aCaseDD  ']
entry,004010D5,004010DB,"['FF', '15', '9C', '20', '40', '00']",['call ds:printf ']
entry,004010DB,004010DC,['46'],['inc esi ']
entry,004010DC,004010DF,"['83', 'C4', '0C']","['add esp, 0Ch ']"
entry,004010DF,004010E2,"['89', '75', 'FC']","['mov [ebp+var_4], esi ']"
entry,004010E2,004010E5,"['3B', '75', 'F8']","['cmp esi, [ebp+var_8] ']"
entry,004010E5,004010EB,"['0F', '8E', '45', 'FF', 'FF', 'FF']",['jle loc_401030 ']
entry,004010EB,004010EC,['5E'],['pop esi ']
entry,004010EC,004010ED,['5B'],['pop ebx ']
gap,004010ED,004010EF,"['33', 'C0']","['None', 'loc_4010ED:  ', 'xor eax, eax ']"
entry,004010EF,004010F0,['5F'],['pop edi ']
entry,004010F0,004010F2,"['8B', 'E5']","['mov esp, ebp ']"
entry,004010F2,004010F3,['5D'],['pop ebp ']
entry,004010F3,004010F4,['C3'],"['retn ', '_main endp ', 'None']"
gap,004010F4,00401103,"['3B', '0D', '00', '30', '40', '00', '75', '02', 'F3', 'C3', 'E9', '98', '02', '00', '00']",['None']
gap,00401103,0040114E,"['68', 'D6', '15', '40', '00', 'E8', '8C', '04', '00', '00', 'A1', '60', '33', '00', '85', 'C0', '79', '08', '6A', '08', 'E8', 'A6', '03', '00', '00', '59', 'C3']",['None']
gap,0040114E,004012D7,"['6A', '10', '00', 'E8', 'DF', '04', '00', '00', 'C3']",['None']
gap,004012D7,00401391,"['B8', '4D', '5A', '00', '00', '66', '39', '05', '00', 'C3']",['None']
gap,00401391,0040139B,"['E8', '83', '04', '00', '00', 'E9', 'B3', 'FD', 'FF', 'FF']",['None']
gap,0040139B,004014A1,"['8B', 'FF', '55', '8B', 'EC', 'C3']",['None']
gap,004014A1,004014E3,"['8B', 'FF', '55', '8B', 'EC', '8B', '45', '08', '8B', '00', '81', '38', '63', '73', '6D', 'C2', '04', '00']",['None']
gap,004014E3,004014E8,"['68', 'A1', '14', '40', '00']","['None', 'None', 'None', 'None', 'sub_4014E3 proc near  ', 'push offset ?__CxxUnhandledExceptionFilter@@YGJPAU_EXCEPTION_POINTERS@@@Z  ']"
entry,004014E8,004014EE,"['FF', '15', '18', '20', '40', '00']",['call ds:SetUnhandledExceptionFilter ']
entry,004014EE,004014F0,"['33', 'C0']","['xor eax, eax ']"
entry,004014F0,004014F1,['C3'],"['retn ', 'sub_4014E3 endp ', 'None', 'None']"
entry,004014F1,004014F2,['CC'],['align 2 ']
gap,004014F2,004014F8,"['FF', '25', '98', '20', '40', '00']",['None']
gap,004014F8,00401599,"['6A', '14', '68', '18', '22', '40', '00', 'E8', '6A', '08', 'E8', '29', '03', '00', '00', '59', 'C3']",['None']
gap,00401599,004015B0,"['8B', 'FF', '55', '8B', 'EC', 'FF', '75']",['None']
gap,004015B0,004015B2,"['8B', 'FF']","['None', 'None', 'None', 'None', 'sub_4015B0 proc near  ', 'mov edi, edi ']"
entry,004015B2,004015B3,['56'],['push esi ']
entry,004015B3,004015B8,"['B8', 'E8', '21', '40', '00']","['mov eax, offset unk_4021E8 ']"
entry,004015B8,004015BD,"['BE', 'E8', '21', '40', '00']","['mov esi, offset unk_4021E8 ']"
entry,004015BD,004015BE,['57'],['push edi ']
entry,004015BE,004015C0,"['8B', 'F8']","['mov edi, eax ']"
entry,004015C0,004015C2,"['3B', 'C6']","['cmp eax, esi ']"
entry,004015C2,004015C4,"['73', '0F']",['jnb short loc_4015D3 ']
gap,004015C4,004015C6,"['8B', '07']","['None', 'loc_4015C4:  ', 'mov eax, [edi] ']"
entry,004015C6,004015C8,"['85', 'C0']","['test eax, eax ']"
entry,004015C8,004015CA,"['74', '02']",['jz short loc_4015CC ']
entry,004015CA,004015CC,"['FF', 'D0']",['call eax ']
gap,004015CC,004015CF,"['83', 'C7', '04']","['None', 'loc_4015CC:  ', 'add edi, 4 ']"
entry,004015CF,004015D1,"['3B', 'FE']","['cmp edi, esi ']"
entry,004015D1,004015D3,"['72', 'F1']",['jb short loc_4015C4 ']
gap,004015D3,004015D4,['5F'],"['None', 'loc_4015D3:  ', 'pop edi ']"
entry,004015D4,004015D5,['5E'],['pop esi ']
entry,004015D5,004015D6,['C3'],"['retn ', 'sub_4015B0 endp ', 'None']"
gap,004015D6,004015D8,"['8B', 'FF']","['None', 'None', 'None', 'None', 'None', 'sub_4015D6 proc near  ', 'mov edi, edi ']"
entry,004015D8,004015D9,['56'],['push esi ']
entry,004015D9,004015DE,"['B8', 'F0', '21', '40', '00']","['mov eax, offset unk_4021F0 ']"
entry,004015DE,004015E3,"['BE', 'F0', '21', '40', '00']","['mov esi, offset unk_4021F0 ']"
entry,004015E3,004015E4,['57'],['push edi ']
entry,004015E4,004015E6,"['8B', 'F8']","['mov edi, eax ']"
entry,004015E6,004015E8,"['3B', 'C6']","['cmp eax, esi ']"
entry,004015E8,004015EA,"['73', '0F']",['jnb short loc_4015F9 ']
gap,004015EA,004015EC,"['8B', '07']","['None', 'loc_4015EA:  ', 'mov eax, [edi] ']"
entry,004015EC,004015EE,"['85', 'C0']","['test eax, eax ']"
entry,004015EE,004015F0,"['74', '02']",['jz short loc_4015F2 ']
entry,004015F0,004015F2,"['FF', 'D0']",['call eax ']
gap,004015F2,004015F5,"['83', 'C7', '04']","['None', 'loc_4015F2:  ', 'add edi, 4 ']"
entry,004015F5,004015F7,"['3B', 'FE']","['cmp edi, esi ']"
entry,004015F7,004015F9,"['72', 'F1']",['jb short loc_4015EA ']
gap,004015F9,004015FA,['5F'],"['None', 'loc_4015F9:  ', 'pop edi ']"
entry,004015FA,004015FB,['5E'],['pop esi ']
entry,004015FB,004015FC,['C3'],"['retn ', 'sub_4015D6 endp ', 'None']"
gap,004015FC,00401602,"['FF', '25', '88', '20', '40', '00']",['None']
entry,00401602,00401610,"['CC', 'CC', 'CC', 'CC', 'CC', 'CC', 'CC', 'CC', 'CC', 'CC', 'CC', 'CC', 'CC', 'CC']",['align 10h ']
gap,00401610,00401645,"['8B', 'FF', '55', '8B', 'EC', '8B', '4D', '08', 'B8', '4D', '5A', '00', '00', '66', '39', '01', 'C2', '8B', 'C2', '5D', 'C3']",['None']
entry,00401645,00401650,"['CC', 'CC', 'CC', 'CC', 'CC', 'CC', 'CC', 'CC', 'CC', 'CC', 'CC']",['align 10h ']
gap,00401650,00401694,"['8B', 'FF', '55', '8B', 'EC', '8B', '45', '08', '8B', '48', '3C', '03', 'C8', '0F', 'B7', '41', '5E', '5B', '5D', 'C3']",['None']
entry,00401694,004016A0,"['CC', 'CC', 'CC', 'CC', 'CC', 'CC', 'CC', 'CC', 'CC', 'CC', 'CC', 'CC']",['align 10h ']
gap,004016A0,0040175C,"['8B', 'FF', '55', '8B', 'EC', '6A', 'FE', '68', '38', '22', '40', '00', '68', 'C9', '17', '40', '00', '00', '00', '00', '59', '5F', '5E', '5B', '8B', 'E5', '5D', 'C3']",['None']
gap,0040175C,00401762,"['FF', '25', '7C', '20', '40', '00']",['None']
gap,00401762,00401768,"['FF', '25', '78', '20', '40', '00']",['None']
